score,hand,handtype,score2
19.02,"[2, 4, 4]",1,855339.0
18.14,"[3, 3, 14]",1,854253.0
18.13,"[3, 3, 13]",1,853167.0
18.12,"[3, 3, 12]",1,852081.0
18.11,"[3, 3, 11]",1,850995.0
18.1,"[3, 3, 10]",1,849910.0
18.09,"[3, 3, 9]",1,848824.0
18.08,"[3, 3, 8]",1,847738.0
18.07,"[3, 3, 7]",1,846652.0
18.06,"[3, 3, 6]",1,845566.0
18.05,"[3, 3, 5]",1,844480.0
18.04,"[3, 3, 4]",1,843394.0
18.02,"[2, 3, 3]",1,842308.0
17.14,"[2, 2, 14]",1,841222.0
17.13,"[2, 2, 13]",1,840136.0
17.12,"[2, 2, 12]",1,839050.0
17.11,"[2, 2, 11]",1,837964.0
17.1,"[2, 2, 10]",1,836878.0
17.09,"[2, 2, 9]",1,835792.0
17.08,"[2, 2, 8]",1,834706.0
17.07,"[2, 2, 7]",1,833620.0
17.06,"[2, 2, 6]",1,832534.0
17.05,"[2, 2, 5]",1,831448.0
17.04,"[2, 2, 4]",1,830362.0
17.03,"[2, 2, 3]",1,829276.0
14.142000000000001,"[12, 13, 14]",0,828190.0
14.141,"[11, 13, 14]",0,825294.0
14.14,"[10, 13, 14]",0,822398.0
14.139000000000001,"[9, 13, 14]",0,819502.0
14.138,"[8, 13, 14]",0,816606.0
14.137,"[7, 13, 14]",0,813710.0
14.136000000000001,"[6, 13, 14]",0,810814.0
14.135000000000002,"[5, 13, 14]",0,807919.0
14.134,"[4, 13, 14]",0,805023.0
14.133000000000001,"[3, 13, 14]",0,802127.0
14.132000000000001,"[2, 13, 14]",0,799231.0
14.130999999999998,"[11, 12, 14]",0,796335.0
14.129999999999999,"[10, 12, 14]",0,793439.0
14.129,"[9, 12, 14]",0,790543.0
14.127999999999998,"[8, 12, 14]",0,787647.0
14.126999999999999,"[7, 12, 14]",0,784751.0
14.126,"[6, 12, 14]",0,781855.0
14.125,"[5, 12, 14]",0,778959.0
14.123999999999999,"[4, 12, 14]",0,776063.0
14.123,"[3, 12, 14]",0,773167.0
14.122,"[2, 12, 14]",0,770271.0
14.12,"[10, 11, 14]",0,767376.0
14.119,"[9, 11, 14]",0,764480.0
14.117999999999999,"[8, 11, 14]",0,761584.0
14.116999999999999,"[7, 11, 14]",0,758688.0
14.116,"[6, 11, 14]",0,755792.0
14.115,"[5, 11, 14]",0,752896.0
14.113999999999999,"[4, 11, 14]",0,750000.0
14.113,"[3, 11, 14]",0,747104.0
14.112,"[2, 11, 14]",0,744208.0
14.109,"[9, 10, 14]",0,741312.0
14.107999999999999,"[8, 10, 14]",0,738416.0
14.107,"[7, 10, 14]",0,735520.0
14.106,"[6, 10, 14]",0,732624.0
14.105,"[5, 10, 14]",0,729729.0
14.104,"[4, 10, 14]",0,726833.0
14.103,"[3, 10, 14]",0,723937.0
14.102,"[2, 10, 14]",0,721041.0
14.097999999999999,"[8, 9, 14]",0,718145.0
14.097,"[7, 9, 14]",0,715249.0
14.096,"[6, 9, 14]",0,712353.0
14.095,"[5, 9, 14]",0,709457.0
14.094,"[4, 9, 14]",0,706561.0
14.093,"[3, 9, 14]",0,703665.0
14.092,"[2, 9, 14]",0,700769.0
14.087,"[7, 8, 14]",0,697873.0
14.086,"[6, 8, 14]",0,694977.0
14.085,"[5, 8, 14]",0,692081.0
14.084,"[4, 8, 14]",0,689186.0
14.083,"[3, 8, 14]",0,686290.0
14.082,"[2, 8, 14]",0,683394.0
14.076,"[6, 7, 14]",0,680498.0
14.075000000000001,"[5, 7, 14]",0,677602.0
14.074,"[4, 7, 14]",0,674706.0
14.073,"[3, 7, 14]",0,671810.0
14.072000000000001,"[2, 7, 14]",0,668914.0
14.065000000000001,"[5, 6, 14]",0,666018.0
14.064,"[4, 6, 14]",0,663122.0
14.063,"[3, 6, 14]",0,660226.0
14.062000000000001,"[2, 6, 14]",0,657330.0
14.054,"[4, 5, 14]",0,654434.0
14.053,"[3, 5, 14]",0,651538.0
14.052000000000001,"[2, 5, 14]",0,648643.0
14.043,"[3, 4, 14]",0,645747.0
14.042,"[2, 4, 14]",0,642851.0
14.032,"[2, 3, 14]",0,639955.0
13.130999999999998,"[11, 12, 13]",0,637059.0
13.129999999999999,"[10, 12, 13]",0,634163.0
13.129,"[9, 12, 13]",0,631267.0
13.127999999999998,"[8, 12, 13]",0,628371.0
13.126999999999999,"[7, 12, 13]",0,625475.0
13.126,"[6, 12, 13]",0,622579.0
13.125,"[5, 12, 13]",0,619683.0
13.123999999999999,"[4, 12, 13]",0,616787.0
13.123,"[3, 12, 13]",0,613891.0
13.122,"[2, 12, 13]",0,610995.0
13.12,"[10, 11, 13]",0,608100.0
13.119,"[9, 11, 13]",0,605204.0
13.117999999999999,"[8, 11, 13]",0,602308.0
13.116999999999999,"[7, 11, 13]",0,599412.0
13.116,"[6, 11, 13]",0,596516.0
13.115,"[5, 11, 13]",0,593620.0
13.113999999999999,"[4, 11, 13]",0,590724.0
13.113,"[3, 11, 13]",0,587828.0
13.112,"[2, 11, 13]",0,584932.0
13.109,"[9, 10, 13]",0,582036.0
13.107999999999999,"[8, 10, 13]",0,579140.0
13.107,"[7, 10, 13]",0,576244.0
13.106,"[6, 10, 13]",0,573348.0
13.105,"[5, 10, 13]",0,570452.0
13.104,"[4, 10, 13]",0,567557.0
13.103,"[3, 10, 13]",0,564661.0
13.102,"[2, 10, 13]",0,561765.0
13.097999999999999,"[8, 9, 13]",0,558869.0
13.097,"[7, 9, 13]",0,555973.0
13.096,"[6, 9, 13]",0,553077.0
13.095,"[5, 9, 13]",0,550181.0
13.094,"[4, 9, 13]",0,547285.0
13.093,"[3, 9, 13]",0,544389.0
13.092,"[2, 9, 13]",0,541493.0
13.087,"[7, 8, 13]",0,538597.0
13.086,"[6, 8, 13]",0,535701.0
13.085,"[5, 8, 13]",0,532805.0
13.084,"[4, 8, 13]",0,529910.0
13.083,"[3, 8, 13]",0,527014.0
13.082,"[2, 8, 13]",0,524118.0
13.076,"[6, 7, 13]",0,521222.0
13.075000000000001,"[5, 7, 13]",0,518326.0
13.074,"[4, 7, 13]",0,515430.0
13.073,"[3, 7, 13]",0,512534.0
13.072000000000001,"[2, 7, 13]",0,509638.0
13.065000000000001,"[5, 6, 13]",0,506742.0
13.064,"[4, 6, 13]",0,503846.0
13.063,"[3, 6, 13]",0,500950.0
13.062000000000001,"[2, 6, 13]",0,498054.0
13.054,"[4, 5, 13]",0,495158.0
13.053,"[3, 5, 13]",0,492262.0
13.052000000000001,"[2, 5, 13]",0,489367.0
13.043,"[3, 4, 13]",0,486471.0
13.042,"[2, 4, 13]",0,483575.0
13.032,"[2, 3, 13]",0,480679.0
12.12,"[10, 11, 12]",0,477783.0
12.119,"[9, 11, 12]",0,474887.0
12.117999999999999,"[8, 11, 12]",0,471991.0
12.116999999999999,"[7, 11, 12]",0,469095.0
12.116,"[6, 11, 12]",0,466199.0
12.115,"[5, 11, 12]",0,463303.0
12.113999999999999,"[4, 11, 12]",0,460407.0
12.113,"[3, 11, 12]",0,457511.0
12.112,"[2, 11, 12]",0,454615.0
12.109,"[9, 10, 12]",0,451719.0
12.107999999999999,"[8, 10, 12]",0,448824.0
12.107,"[7, 10, 12]",0,445928.0
12.106,"[6, 10, 12]",0,443032.0
12.105,"[5, 10, 12]",0,440136.0
12.104,"[4, 10, 12]",0,437240.0
12.103,"[3, 10, 12]",0,434344.0
12.102,"[2, 10, 12]",0,431448.0
12.097999999999999,"[8, 9, 12]",0,428552.0
12.097,"[7, 9, 12]",0,425656.0
12.096,"[6, 9, 12]",0,422760.0
12.095,"[5, 9, 12]",0,419864.0
12.094,"[4, 9, 12]",0,416968.0
12.093,"[3, 9, 12]",0,414072.0
12.092,"[2, 9, 12]",0,411176.0
12.087,"[7, 8, 12]",0,408281.0
12.086,"[6, 8, 12]",0,405385.0
12.085,"[5, 8, 12]",0,402489.0
12.084,"[4, 8, 12]",0,399593.0
12.083,"[3, 8, 12]",0,396697.0
12.082,"[2, 8, 12]",0,393801.0
12.076,"[6, 7, 12]",0,390905.0
12.075000000000001,"[5, 7, 12]",0,388009.0
12.074,"[4, 7, 12]",0,385113.0
12.073,"[3, 7, 12]",0,382217.0
12.072000000000001,"[2, 7, 12]",0,379321.0
12.065000000000001,"[5, 6, 12]",0,376425.0
12.064,"[4, 6, 12]",0,373529.0
12.063,"[3, 6, 12]",0,370633.0
12.062000000000001,"[2, 6, 12]",0,367738.0
12.054,"[4, 5, 12]",0,364842.0
12.053,"[3, 5, 12]",0,361946.0
12.052000000000001,"[2, 5, 12]",0,359050.0
12.043,"[3, 4, 12]",0,356154.0
12.042,"[2, 4, 12]",0,353258.0
12.032,"[2, 3, 12]",0,350362.0
11.109,"[9, 10, 11]",0,347466.0
11.107999999999999,"[8, 10, 11]",0,344570.0
11.107,"[7, 10, 11]",0,341674.0
11.106,"[6, 10, 11]",0,338778.0
11.105,"[5, 10, 11]",0,335882.0
11.104,"[4, 10, 11]",0,332986.0
11.103,"[3, 10, 11]",0,330090.0
11.102,"[2, 10, 11]",0,327195.0
11.097999999999999,"[8, 9, 11]",0,324299.0
11.097,"[7, 9, 11]",0,321403.0
11.096,"[6, 9, 11]",0,318507.0
11.095,"[5, 9, 11]",0,315611.0
11.094,"[4, 9, 11]",0,312715.0
11.093,"[3, 9, 11]",0,309819.0
11.092,"[2, 9, 11]",0,306923.0
11.087,"[7, 8, 11]",0,304027.0
11.086,"[6, 8, 11]",0,301131.0
11.085,"[5, 8, 11]",0,298235.0
11.084,"[4, 8, 11]",0,295339.0
11.083,"[3, 8, 11]",0,292443.0
11.082,"[2, 8, 11]",0,289548.0
11.076,"[6, 7, 11]",0,286652.0
11.075000000000001,"[5, 7, 11]",0,283756.0
11.074,"[4, 7, 11]",0,280860.0
11.073,"[3, 7, 11]",0,277964.0
11.072000000000001,"[2, 7, 11]",0,275068.0
11.065000000000001,"[5, 6, 11]",0,272172.0
11.064,"[4, 6, 11]",0,269276.0
11.063,"[3, 6, 11]",0,266380.0
11.062000000000001,"[2, 6, 11]",0,263484.0
11.054,"[4, 5, 11]",0,260588.0
11.053,"[3, 5, 11]",0,257692.0
11.052000000000001,"[2, 5, 11]",0,254796.0
11.043,"[3, 4, 11]",0,251900.0
11.042,"[2, 4, 11]",0,249005.0
11.032,"[2, 3, 11]",0,246109.0
10.097999999999999,"[8, 9, 10]",0,243213.0
10.097,"[7, 9, 10]",0,240317.0
10.096,"[6, 9, 10]",0,237421.0
10.095,"[5, 9, 10]",0,234525.0
10.094,"[4, 9, 10]",0,231629.0
10.093,"[3, 9, 10]",0,228733.0
10.092,"[2, 9, 10]",0,225837.0
10.087,"[7, 8, 10]",0,222941.0
10.086,"[6, 8, 10]",0,220045.0
10.085,"[5, 8, 10]",0,217149.0
10.084,"[4, 8, 10]",0,214253.0
10.083,"[3, 8, 10]",0,211357.0
10.082,"[2, 8, 10]",0,208462.0
10.076,"[6, 7, 10]",0,205566.0
10.075000000000001,"[5, 7, 10]",0,202670.0
10.074,"[4, 7, 10]",0,199774.0
10.073,"[3, 7, 10]",0,196878.0
10.072000000000001,"[2, 7, 10]",0,193982.0
10.065000000000001,"[5, 6, 10]",0,191086.0
10.064,"[4, 6, 10]",0,188190.0
10.063,"[3, 6, 10]",0,185294.0
10.062000000000001,"[2, 6, 10]",0,182398.0
10.054,"[4, 5, 10]",0,179502.0
10.053,"[3, 5, 10]",0,176606.0
10.052000000000001,"[2, 5, 10]",0,173710.0
10.043,"[3, 4, 10]",0,170814.0
10.042,"[2, 4, 10]",0,167919.0
10.032,"[2, 3, 10]",0,165023.0
