hand,value,handtype,score
"('10C', '11C', '12C', '13C', '14C')",134.0,8,1000000.0
"('09C', '10C', '11C', '12C', '13C')",133.0,8,999998.0
"('08C', '09C', '10C', '11C', '12C')",132.0,8,999997.0
"('07C', '08C', '09C', '10C', '11C')",131.0,8,999995.0
"('06C', '07C', '08C', '09C', '10C')",130.0,8,999993.0
"('05C', '06C', '07C', '08C', '09C')",129.0,8,999992.0
"('04C', '05C', '06C', '07C', '08C')",128.0,8,999990.0
"('03C', '04C', '05C', '06C', '07C')",127.0,8,999989.0
"('02C', '03C', '04C', '05C', '06C')",126.0,8,999987.0
"('13C', '14C', '14D', '14H', '14S')",119.13,7,999986.0
"('12C', '14C', '14D', '14H', '14S')",119.12,7,999984.0
"('11C', '14C', '14D', '14H', '14S')",119.11,7,999983.0
"('10C', '14C', '14D', '14H', '14S')",119.1,7,999981.0
"('09C', '14C', '14D', '14H', '14S')",119.09,7,999980.0
"('08C', '14C', '14D', '14H', '14S')",119.08,7,999978.0
"('07C', '14C', '14D', '14H', '14S')",119.07,7,999977.0
"('06C', '14C', '14D', '14H', '14S')",119.06,7,999975.0
"('05C', '14C', '14D', '14H', '14S')",119.05,7,999973.0
"('04C', '14C', '14D', '14H', '14S')",119.04,7,999972.0
"('03C', '14C', '14D', '14H', '14S')",119.03,7,999970.0
"('02C', '14C', '14D', '14H', '14S')",119.02,7,999969.0
"('13C', '13D', '13H', '13S', '14C')",118.14,7,999967.0
"('12C', '13C', '13D', '13H', '13S')",118.12,7,999966.0
"('11C', '13C', '13D', '13H', '13S')",118.11,7,999964.0
"('10C', '13C', '13D', '13H', '13S')",118.1,7,999963.0
"('09C', '13C', '13D', '13H', '13S')",118.09,7,999961.0
"('08C', '13C', '13D', '13H', '13S')",118.08,7,999960.0
"('07C', '13C', '13D', '13H', '13S')",118.07,7,999958.0
"('06C', '13C', '13D', '13H', '13S')",118.06,7,999957.0
"('05C', '13C', '13D', '13H', '13S')",118.05,7,999955.0
"('04C', '13C', '13D', '13H', '13S')",118.04,7,999953.0
"('03C', '13C', '13D', '13H', '13S')",118.03,7,999952.0
"('02C', '13C', '13D', '13H', '13S')",118.02,7,999950.0
"('12C', '12D', '12H', '12S', '14C')",117.14,7,999949.0
"('12C', '12D', '12H', '12S', '13C')",117.13,7,999947.0
"('11C', '12C', '12D', '12H', '12S')",117.11,7,999946.0
"('10C', '12C', '12D', '12H', '12S')",117.1,7,999944.0
"('09C', '12C', '12D', '12H', '12S')",117.09,7,999943.0
"('08C', '12C', '12D', '12H', '12S')",117.08,7,999941.0
"('07C', '12C', '12D', '12H', '12S')",117.07,7,999940.0
"('06C', '12C', '12D', '12H', '12S')",117.06,7,999938.0
"('05C', '12C', '12D', '12H', '12S')",117.05,7,999937.0
"('04C', '12C', '12D', '12H', '12S')",117.04,7,999935.0
"('03C', '12C', '12D', '12H', '12S')",117.03,7,999933.0
"('02C', '12C', '12D', '12H', '12S')",117.02,7,999932.0
"('11C', '11D', '11H', '11S', '14C')",116.14,7,999930.0
"('11C', '11D', '11H', '11S', '13C')",116.13,7,999929.0
"('11C', '11D', '11H', '11S', '12C')",116.12,7,999927.0
"('10C', '11C', '11D', '11H', '11S')",116.1,7,999926.0
"('09C', '11C', '11D', '11H', '11S')",116.09,7,999924.0
"('08C', '11C', '11D', '11H', '11S')",116.08,7,999923.0
"('07C', '11C', '11D', '11H', '11S')",116.07,7,999921.0
"('06C', '11C', '11D', '11H', '11S')",116.06,7,999920.0
"('05C', '11C', '11D', '11H', '11S')",116.05,7,999918.0
"('04C', '11C', '11D', '11H', '11S')",116.04,7,999917.0
"('03C', '11C', '11D', '11H', '11S')",116.03,7,999915.0
"('02C', '11C', '11D', '11H', '11S')",116.02,7,999913.0
"('10C', '10D', '10H', '10S', '14C')",115.14,7,999912.0
"('10C', '10D', '10H', '10S', '13C')",115.13,7,999910.0
"('10C', '10D', '10H', '10S', '12C')",115.12,7,999909.0
"('10C', '10D', '10H', '10S', '11C')",115.11,7,999907.0
"('09C', '10C', '10D', '10H', '10S')",115.09,7,999906.0
"('08C', '10C', '10D', '10H', '10S')",115.08,7,999904.0
"('07C', '10C', '10D', '10H', '10S')",115.07,7,999903.0
"('06C', '10C', '10D', '10H', '10S')",115.06,7,999901.0
"('05C', '10C', '10D', '10H', '10S')",115.05,7,999900.0
"('04C', '10C', '10D', '10H', '10S')",115.04,7,999898.0
"('03C', '10C', '10D', '10H', '10S')",115.03,7,999896.0
"('02C', '10C', '10D', '10H', '10S')",115.02,7,999895.0
"('09C', '09D', '09H', '09S', '14C')",114.14,7,999893.0
"('09C', '09D', '09H', '09S', '13C')",114.13,7,999892.0
"('09C', '09D', '09H', '09S', '12C')",114.12,7,999890.0
"('09C', '09D', '09H', '09S', '11C')",114.11,7,999889.0
"('09C', '09D', '09H', '09S', '10C')",114.1,7,999887.0
"('08C', '09C', '09D', '09H', '09S')",114.08,7,999886.0
"('07C', '09C', '09D', '09H', '09S')",114.07,7,999884.0
"('06C', '09C', '09D', '09H', '09S')",114.06,7,999883.0
"('05C', '09C', '09D', '09H', '09S')",114.05,7,999881.0
"('04C', '09C', '09D', '09H', '09S')",114.04,7,999880.0
"('03C', '09C', '09D', '09H', '09S')",114.03,7,999878.0
"('02C', '09C', '09D', '09H', '09S')",114.02,7,999876.0
"('08C', '08D', '08H', '08S', '14C')",113.14,7,999875.0
"('08C', '08D', '08H', '08S', '13C')",113.13,7,999873.0
"('08C', '08D', '08H', '08S', '12C')",113.12,7,999872.0
"('08C', '08D', '08H', '08S', '11C')",113.11,7,999870.0
"('08C', '08D', '08H', '08S', '10C')",113.1,7,999869.0
"('08C', '08D', '08H', '08S', '09C')",113.09,7,999867.0
"('07C', '08C', '08D', '08H', '08S')",113.07,7,999866.0
"('06C', '08C', '08D', '08H', '08S')",113.06,7,999864.0
"('05C', '08C', '08D', '08H', '08S')",113.05,7,999863.0
"('04C', '08C', '08D', '08H', '08S')",113.04,7,999861.0
"('03C', '08C', '08D', '08H', '08S')",113.03,7,999860.0
"('02C', '08C', '08D', '08H', '08S')",113.02,7,999858.0
"('07C', '07D', '07H', '07S', '14C')",112.14,7,999856.0
"('07C', '07D', '07H', '07S', '13C')",112.13,7,999855.0
"('07C', '07D', '07H', '07S', '12C')",112.12,7,999853.0
"('07C', '07D', '07H', '07S', '11C')",112.11,7,999852.0
"('07C', '07D', '07H', '07S', '10C')",112.1,7,999850.0
"('07C', '07D', '07H', '07S', '09C')",112.09,7,999849.0
"('07C', '07D', '07H', '07S', '08C')",112.08,7,999847.0
"('06C', '07C', '07D', '07H', '07S')",112.06,7,999846.0
"('05C', '07C', '07D', '07H', '07S')",112.05,7,999844.0
"('04C', '07C', '07D', '07H', '07S')",112.04,7,999843.0
"('03C', '07C', '07D', '07H', '07S')",112.03,7,999841.0
"('02C', '07C', '07D', '07H', '07S')",112.02,7,999840.0
"('06C', '06D', '06H', '06S', '14C')",111.14,7,999838.0
"('06C', '06D', '06H', '06S', '13C')",111.13,7,999836.0
"('06C', '06D', '06H', '06S', '12C')",111.12,7,999835.0
"('06C', '06D', '06H', '06S', '11C')",111.11,7,999833.0
"('06C', '06D', '06H', '06S', '10C')",111.1,7,999832.0
"('06C', '06D', '06H', '06S', '09C')",111.09,7,999830.0
"('06C', '06D', '06H', '06S', '08C')",111.08,7,999829.0
"('06C', '06D', '06H', '06S', '07C')",111.07,7,999827.0
"('05C', '06C', '06D', '06H', '06S')",111.05,7,999826.0
"('04C', '06C', '06D', '06H', '06S')",111.04,7,999824.0
"('03C', '06C', '06D', '06H', '06S')",111.03,7,999823.0
"('02C', '06C', '06D', '06H', '06S')",111.02,7,999821.0
"('05C', '05D', '05H', '05S', '14C')",110.14,7,999820.0
"('05C', '05D', '05H', '05S', '13C')",110.13,7,999818.0
"('05C', '05D', '05H', '05S', '12C')",110.12,7,999816.0
"('05C', '05D', '05H', '05S', '11C')",110.11,7,999815.0
"('05C', '05D', '05H', '05S', '10C')",110.1,7,999813.0
"('05C', '05D', '05H', '05S', '09C')",110.09,7,999812.0
"('05C', '05D', '05H', '05S', '08C')",110.08,7,999810.0
"('05C', '05D', '05H', '05S', '07C')",110.07,7,999809.0
"('05C', '05D', '05H', '05S', '06C')",110.06,7,999807.0
"('04C', '05C', '05D', '05H', '05S')",110.04,7,999806.0
