hand,value,handtype,score
"('03C', '05C', '05D', '05H', '05S')",110.03,7,999804.0
"('02C', '05C', '05D', '05H', '05S')",110.02,7,999803.0
"('04C', '04D', '04H', '04S', '14C')",109.14,7,999801.0
"('04C', '04D', '04H', '04S', '13C')",109.13,7,999800.0
"('04C', '04D', '04H', '04S', '12C')",109.12,7,999798.0
"('04C', '04D', '04H', '04S', '11C')",109.11,7,999796.0
"('04C', '04D', '04H', '04S', '10C')",109.1,7,999795.0
"('04C', '04D', '04H', '04S', '09C')",109.09,7,999793.0
"('04C', '04D', '04H', '04S', '08C')",109.08,7,999792.0
"('04C', '04D', '04H', '04S', '07C')",109.07,7,999790.0
"('04C', '04D', '04H', '04S', '06C')",109.06,7,999789.0
"('04C', '04D', '04H', '04S', '05C')",109.05,7,999787.0
"('03C', '04C', '04D', '04H', '04S')",109.03,7,999786.0
"('02C', '04C', '04D', '04H', '04S')",109.02,7,999784.0
"('03C', '03D', '03H', '03S', '14C')",108.14,7,999783.0
"('03C', '03D', '03H', '03S', '13C')",108.13,7,999781.0
"('03C', '03D', '03H', '03S', '12C')",108.12,7,999780.0
"('03C', '03D', '03H', '03S', '11C')",108.11,7,999778.0
"('03C', '03D', '03H', '03S', '10C')",108.1,7,999776.0
"('03C', '03D', '03H', '03S', '09C')",108.09,7,999775.0
"('03C', '03D', '03H', '03S', '08C')",108.08,7,999773.0
"('03C', '03D', '03H', '03S', '07C')",108.07,7,999772.0
"('03C', '03D', '03H', '03S', '06C')",108.06,7,999770.0
"('03C', '03D', '03H', '03S', '05C')",108.05,7,999769.0
"('03C', '03D', '03H', '03S', '04C')",108.04,7,999767.0
"('02C', '03C', '03D', '03H', '03S')",108.02,7,999766.0
"('02C', '02D', '02H', '02S', '14C')",107.14,7,999764.0
"('02C', '02D', '02H', '02S', '13C')",107.13,7,999763.0
"('02C', '02D', '02H', '02S', '12C')",107.12,7,999761.0
"('02C', '02D', '02H', '02S', '11C')",107.11,7,999760.0
"('02C', '02D', '02H', '02S', '10C')",107.1,7,999758.0
"('02C', '02D', '02H', '02S', '09C')",107.09,7,999756.0
"('02C', '02D', '02H', '02S', '08C')",107.08,7,999755.0
"('02C', '02D', '02H', '02S', '07C')",107.07,7,999753.0
"('02C', '02D', '02H', '02S', '06C')",107.06,7,999752.0
"('02C', '02D', '02H', '02S', '05C')",107.05,7,999750.0
"('02C', '02D', '02H', '02S', '04C')",107.04,7,999749.0
"('02C', '02D', '02H', '02S', '03C')",107.03,7,999747.0
"('02C', '02D', '14C', '14D', '14H')",104.0,6,999746.0
"('02C', '02D', '13C', '13D', '13H')",103.0,6,999635.0
"('02C', '02D', '12C', '12D', '12H')",102.0,6,999524.0
"('02C', '02D', '11C', '11D', '11H')",101.0,6,999413.0
"('02C', '02D', '10C', '10D', '10H')",100.0,6,999302.0
"('02C', '02D', '09C', '09D', '09H')",99.0,6,999192.0
"('02C', '02D', '08C', '08D', '08H')",98.0,6,999081.0
"('02C', '02D', '07C', '07D', '07H')",97.0,6,998970.0
"('02C', '02D', '06C', '06D', '06H')",96.0,6,998859.0
"('02C', '02D', '05C', '05D', '05H')",95.0,6,998748.0
"('02C', '02D', '04C', '04D', '04H')",94.0,6,998638.0
"('02C', '02D', '03C', '03D', '03H')",93.0,6,998527.0
"('02C', '02D', '02H', '03C', '03D')",92.0,6,998416.0
"('09C', '11C', '12C', '13C', '14C')",89.14318999999999,5,998305.0
"('08C', '11C', '12C', '13C', '14C')",89.14317999999999,5,998304.0
"('07C', '11C', '12C', '13C', '14C')",89.14316999999998,5,998302.0
"('06C', '11C', '12C', '13C', '14C')",89.14316,5,998300.0
"('05C', '11C', '12C', '13C', '14C')",89.14314999999999,5,998299.0
"('04C', '11C', '12C', '13C', '14C')",89.14313999999999,5,998297.0
"('03C', '11C', '12C', '13C', '14C')",89.14312999999999,5,998296.0
"('02C', '11C', '12C', '13C', '14C')",89.14312,5,998294.0
"('09C', '10C', '12C', '13C', '14C')",89.14309,5,998293.0
"('08C', '10C', '12C', '13C', '14C')",89.14308,5,998291.0
"('07C', '10C', '12C', '13C', '14C')",89.14307,5,998290.0
"('06C', '10C', '12C', '13C', '14C')",89.14306,5,998288.0
"('05C', '10C', '12C', '13C', '14C')",89.14305,5,998287.0
"('04C', '10C', '12C', '13C', '14C')",89.14304,5,998285.0
"('03C', '10C', '12C', '13C', '14C')",89.14303,5,998284.0
"('02C', '10C', '12C', '13C', '14C')",89.14302,5,998282.0
"('08C', '09C', '12C', '13C', '14C')",89.14298,5,998280.0
"('07C', '09C', '12C', '13C', '14C')",89.14296999999999,5,998279.0
"('06C', '09C', '12C', '13C', '14C')",89.14296,5,998277.0
"('05C', '09C', '12C', '13C', '14C')",89.14295,5,998276.0
"('04C', '09C', '12C', '13C', '14C')",89.14294,5,998274.0
"('03C', '09C', '12C', '13C', '14C')",89.14292999999999,5,998273.0
"('02C', '09C', '12C', '13C', '14C')",89.14292,5,998271.0
"('07C', '08C', '12C', '13C', '14C')",89.14286999999999,5,998270.0
"('06C', '08C', '12C', '13C', '14C')",89.14286,5,998268.0
"('05C', '08C', '12C', '13C', '14C')",89.14285,5,998267.0
"('04C', '08C', '12C', '13C', '14C')",89.14283999999999,5,998265.0
"('03C', '08C', '12C', '13C', '14C')",89.14282999999999,5,998264.0
"('02C', '08C', '12C', '13C', '14C')",89.14282,5,998262.0
"('06C', '07C', '12C', '13C', '14C')",89.14276,5,998260.0
"('05C', '07C', '12C', '13C', '14C')",89.14274999999999,5,998259.0
"('04C', '07C', '12C', '13C', '14C')",89.14273999999999,5,998257.0
"('03C', '07C', '12C', '13C', '14C')",89.14272999999999,5,998256.0
"('02C', '07C', '12C', '13C', '14C')",89.14272,5,998254.0
"('05C', '06C', '12C', '13C', '14C')",89.14265,5,998253.0
"('04C', '06C', '12C', '13C', '14C')",89.14264,5,998251.0
"('03C', '06C', '12C', '13C', '14C')",89.14263,5,998250.0
"('02C', '06C', '12C', '13C', '14C')",89.14262000000001,5,998248.0
"('04C', '05C', '12C', '13C', '14C')",89.14254,5,998247.0
"('03C', '05C', '12C', '13C', '14C')",89.14253,5,998245.0
"('02C', '05C', '12C', '13C', '14C')",89.14252,5,998244.0
"('03C', '04C', '12C', '13C', '14C')",89.14242999999999,5,998242.0
"('02C', '04C', '12C', '13C', '14C')",89.14242,5,998240.0
"('02C', '03C', '12C', '13C', '14C')",89.14232,5,998239.0
"('09C', '10C', '11C', '13C', '14C')",89.14209,5,998237.0
"('08C', '10C', '11C', '13C', '14C')",89.14207999999999,5,998236.0
"('07C', '10C', '11C', '13C', '14C')",89.14206999999999,5,998234.0
"('06C', '10C', '11C', '13C', '14C')",89.14206,5,998233.0
"('05C', '10C', '11C', '13C', '14C')",89.14205,5,998231.0
"('04C', '10C', '11C', '13C', '14C')",89.14204,5,998230.0
"('03C', '10C', '11C', '13C', '14C')",89.14202999999999,5,998228.0
"('02C', '10C', '11C', '13C', '14C')",89.14202,5,998227.0
"('08C', '09C', '11C', '13C', '14C')",89.14197999999999,5,998225.0
"('07C', '09C', '11C', '13C', '14C')",89.14196999999999,5,998224.0
"('06C', '09C', '11C', '13C', '14C')",89.14196,5,998222.0
"('05C', '09C', '11C', '13C', '14C')",89.14195,5,998220.0
"('04C', '09C', '11C', '13C', '14C')",89.14193999999999,5,998219.0
"('03C', '09C', '11C', '13C', '14C')",89.14192999999999,5,998217.0
"('02C', '09C', '11C', '13C', '14C')",89.14192,5,998216.0
"('07C', '08C', '11C', '13C', '14C')",89.14186999999998,5,998214.0
"('06C', '08C', '11C', '13C', '14C')",89.14186,5,998213.0
"('05C', '08C', '11C', '13C', '14C')",89.14184999999999,5,998211.0
"('04C', '08C', '11C', '13C', '14C')",89.14183999999999,5,998210.0
"('03C', '08C', '11C', '13C', '14C')",89.14182999999998,5,998208.0
"('02C', '08C', '11C', '13C', '14C')",89.14182,5,998207.0
"('06C', '07C', '11C', '13C', '14C')",89.14175999999999,5,998205.0
"('05C', '07C', '11C', '13C', '14C')",89.14174999999999,5,998204.0
"('04C', '07C', '11C', '13C', '14C')",89.14173999999998,5,998202.0
"('03C', '07C', '11C', '13C', '14C')",89.14172999999998,5,998200.0
"('02C', '07C', '11C', '13C', '14C')",89.14171999999999,5,998199.0
"('05C', '06C', '11C', '13C', '14C')",89.14165,5,998197.0
"('04C', '06C', '11C', '13C', '14C')",89.14164,5,998196.0
"('03C', '06C', '11C', '13C', '14C')",89.14162999999999,5,998194.0
"('02C', '06C', '11C', '13C', '14C')",89.14162,5,998193.0
"('04C', '05C', '11C', '13C', '14C')",89.14153999999999,5,998191.0
"('03C', '05C', '11C', '13C', '14C')",89.14152999999999,5,998190.0
"('02C', '05C', '11C', '13C', '14C')",89.14152,5,998188.0
"('03C', '04C', '11C', '13C', '14C')",89.14142999999999,5,998187.0
"('02C', '04C', '11C', '13C', '14C')",89.14142,5,998185.0
"('02C', '03C', '11C', '13C', '14C')",89.14132,5,998184.0
"('08C', '09C', '10C', '13C', '14C')",89.14098,5,998182.0
"('07C', '09C', '10C', '13C', '14C')",89.14097,5,998180.0
"('06C', '09C', '10C', '13C', '14C')",89.14096,5,998179.0
"('05C', '09C', '10C', '13C', '14C')",89.14095,5,998177.0
"('04C', '09C', '10C', '13C', '14C')",89.14094,5,998176.0
"('03C', '09C', '10C', '13C', '14C')",89.14093,5,998174.0
"('02C', '09C', '10C', '13C', '14C')",89.14092000000001,5,998173.0
"('07C', '08C', '10C', '13C', '14C')",89.14086999999999,5,998171.0
"('06C', '08C', '10C', '13C', '14C')",89.14086,5,998170.0
"('05C', '08C', '10C', '13C', '14C')",89.14085,5,998168.0
"('04C', '08C', '10C', '13C', '14C')",89.14084,5,998167.0
"('03C', '08C', '10C', '13C', '14C')",89.14083,5,998165.0
"('02C', '08C', '10C', '13C', '14C')",89.14082,5,998163.0
"('06C', '07C', '10C', '13C', '14C')",89.14076,5,998162.0
"('05C', '07C', '10C', '13C', '14C')",89.14075,5,998160.0
"('04C', '07C', '10C', '13C', '14C')",89.14074,5,998159.0
"('03C', '07C', '10C', '13C', '14C')",89.14072999999999,5,998157.0
"('02C', '07C', '10C', '13C', '14C')",89.14072,5,998156.0
"('05C', '06C', '10C', '13C', '14C')",89.14065000000001,5,998154.0
"('04C', '06C', '10C', '13C', '14C')",89.14064,5,998153.0
"('03C', '06C', '10C', '13C', '14C')",89.14063,5,998151.0
"('02C', '06C', '10C', '13C', '14C')",89.14062000000001,5,998150.0
"('04C', '05C', '10C', '13C', '14C')",89.14054,5,998148.0
"('03C', '05C', '10C', '13C', '14C')",89.14053,5,998147.0
"('02C', '05C', '10C', '13C', '14C')",89.14052000000001,5,998145.0
"('03C', '04C', '10C', '13C', '14C')",89.14043,5,998143.0
"('02C', '04C', '10C', '13C', '14C')",89.14042,5,998142.0
"('02C', '03C', '10C', '13C', '14C')",89.14032,5,998140.0
"('07C', '08C', '09C', '13C', '14C')",89.13986999999999,5,998139.0
"('06C', '08C', '09C', '13C', '14C')",89.13986,5,998137.0
"('05C', '08C', '09C', '13C', '14C')",89.13985,5,998136.0
"('04C', '08C', '09C', '13C', '14C')",89.13983999999999,5,998134.0
"('03C', '08C', '09C', '13C', '14C')",89.13982999999999,5,998133.0
"('02C', '08C', '09C', '13C', '14C')",89.13982,5,998131.0
"('06C', '07C', '09C', '13C', '14C')",89.13976,5,998130.0
"('05C', '07C', '09C', '13C', '14C')",89.13974999999999,5,998128.0
"('04C', '07C', '09C', '13C', '14C')",89.13973999999999,5,998127.0
"('03C', '07C', '09C', '13C', '14C')",89.13972999999999,5,998125.0
"('02C', '07C', '09C', '13C', '14C')",89.13972,5,998123.0
"('05C', '06C', '09C', '13C', '14C')",89.13965,5,998122.0
"('04C', '06C', '09C', '13C', '14C')",89.13964,5,998120.0
"('03C', '06C', '09C', '13C', '14C')",89.13963,5,998119.0
"('02C', '06C', '09C', '13C', '14C')",89.13962000000001,5,998117.0
"('04C', '05C', '09C', '13C', '14C')",89.13954,5,998116.0
"('03C', '05C', '09C', '13C', '14C')",89.13953,5,998114.0
"('02C', '05C', '09C', '13C', '14C')",89.13952,5,998113.0
"('03C', '04C', '09C', '13C', '14C')",89.13942999999999,5,998111.0
"('02C', '04C', '09C', '13C', '14C')",89.13942,5,998110.0
"('02C', '03C', '09C', '13C', '14C')",89.13932,5,998108.0
"('06C', '07C', '08C', '13C', '14C')",89.13875999999999,5,998107.0
"('05C', '07C', '08C', '13C', '14C')",89.13874999999999,5,998105.0
"('04C', '07C', '08C', '13C', '14C')",89.13873999999998,5,998103.0
"('03C', '07C', '08C', '13C', '14C')",89.13872999999998,5,998102.0
"('02C', '07C', '08C', '13C', '14C')",89.13871999999999,5,998100.0
"('05C', '06C', '08C', '13C', '14C')",89.13865,5,998099.0
"('04C', '06C', '08C', '13C', '14C')",89.13864,5,998097.0
"('03C', '06C', '08C', '13C', '14C')",89.13862999999999,5,998096.0
"('02C', '06C', '08C', '13C', '14C')",89.13862,5,998094.0
"('04C', '05C', '08C', '13C', '14C')",89.13853999999999,5,998093.0
"('03C', '05C', '08C', '13C', '14C')",89.13852999999999,5,998091.0
"('02C', '05C', '08C', '13C', '14C')",89.13852,5,998090.0
"('03C', '04C', '08C', '13C', '14C')",89.13842999999999,5,998088.0
"('02C', '04C', '08C', '13C', '14C')",89.13842,5,998087.0
"('02C', '03C', '08C', '13C', '14C')",89.13832,5,998085.0
"('05C', '06C', '07C', '13C', '14C')",89.13765000000001,5,998083.0
"('04C', '06C', '07C', '13C', '14C')",89.13764,5,998082.0
"('03C', '06C', '07C', '13C', '14C')",89.13763,5,998080.0
"('02C', '06C', '07C', '13C', '14C')",89.13762000000001,5,998079.0
"('04C', '05C', '07C', '13C', '14C')",89.13754,5,998077.0
"('03C', '05C', '07C', '13C', '14C')",89.13753,5,998076.0
"('02C', '05C', '07C', '13C', '14C')",89.13752000000001,5,998074.0
"('03C', '04C', '07C', '13C', '14C')",89.13743,5,998073.0
"('02C', '04C', '07C', '13C', '14C')",89.13742,5,998071.0
"('02C', '03C', '07C', '13C', '14C')",89.13732,5,998070.0
"('04C', '05C', '06C', '13C', '14C')",89.13654,5,998068.0
"('03C', '05C', '06C', '13C', '14C')",89.13653,5,998067.0
"('02C', '05C', '06C', '13C', '14C')",89.13652,5,998065.0
"('03C', '04C', '06C', '13C', '14C')",89.13642999999999,5,998063.0
"('02C', '04C', '06C', '13C', '14C')",89.13642,5,998062.0
"('02C', '03C', '06C', '13C', '14C')",89.13632,5,998060.0
"('03C', '04C', '05C', '13C', '14C')",89.13542999999999,5,998059.0
"('02C', '04C', '05C', '13C', '14C')",89.13542,5,998057.0
"('02C', '03C', '05C', '13C', '14C')",89.13532,5,998056.0
"('02C', '03C', '04C', '13C', '14C')",89.13432,5,998054.0
"('09C', '10C', '11C', '12C', '14C')",89.13209,5,998053.0
"('08C', '10C', '11C', '12C', '14C')",89.13208,5,998051.0
"('07C', '10C', '11C', '12C', '14C')",89.13207,5,998050.0
"('06C', '10C', '11C', '12C', '14C')",89.13206000000001,5,998048.0
"('05C', '10C', '11C', '12C', '14C')",89.13205,5,998047.0
"('04C', '10C', '11C', '12C', '14C')",89.13204,5,998045.0
"('03C', '10C', '11C', '12C', '14C')",89.13203,5,998043.0
"('02C', '10C', '11C', '12C', '14C')",89.13202000000001,5,998042.0
"('08C', '09C', '11C', '12C', '14C')",89.13198,5,998040.0
"('07C', '09C', '11C', '12C', '14C')",89.13197,5,998039.0
"('06C', '09C', '11C', '12C', '14C')",89.13196,5,998037.0
"('05C', '09C', '11C', '12C', '14C')",89.13195,5,998036.0
"('04C', '09C', '11C', '12C', '14C')",89.13194,5,998034.0
"('03C', '09C', '11C', '12C', '14C')",89.13193,5,998033.0
"('02C', '09C', '11C', '12C', '14C')",89.13192000000001,5,998031.0
"('07C', '08C', '11C', '12C', '14C')",89.13186999999999,5,998030.0
"('06C', '08C', '11C', '12C', '14C')",89.13186,5,998028.0
"('05C', '08C', '11C', '12C', '14C')",89.13185,5,998027.0
"('04C', '08C', '11C', '12C', '14C')",89.13184,5,998025.0
"('03C', '08C', '11C', '12C', '14C')",89.13183,5,998023.0
"('02C', '08C', '11C', '12C', '14C')",89.13182,5,998022.0
"('06C', '07C', '11C', '12C', '14C')",89.13176,5,998020.0
"('05C', '07C', '11C', '12C', '14C')",89.13175,5,998019.0
"('04C', '07C', '11C', '12C', '14C')",89.13174,5,998017.0
"('03C', '07C', '11C', '12C', '14C')",89.13172999999999,5,998016.0
"('02C', '07C', '11C', '12C', '14C')",89.13172,5,998014.0
"('05C', '06C', '11C', '12C', '14C')",89.13165000000001,5,998013.0
"('04C', '06C', '11C', '12C', '14C')",89.13164,5,998011.0
"('03C', '06C', '11C', '12C', '14C')",89.13163,5,998010.0
"('02C', '06C', '11C', '12C', '14C')",89.13162000000001,5,998008.0
"('04C', '05C', '11C', '12C', '14C')",89.13154,5,998007.0
"('03C', '05C', '11C', '12C', '14C')",89.13153,5,998005.0
"('02C', '05C', '11C', '12C', '14C')",89.13152000000001,5,998003.0
"('03C', '04C', '11C', '12C', '14C')",89.13143,5,998002.0
"('02C', '04C', '11C', '12C', '14C')",89.13142,5,998000.0
"('02C', '03C', '11C', '12C', '14C')",89.13132,5,997999.0
"('08C', '09C', '10C', '12C', '14C')",89.13098000000001,5,997997.0
"('07C', '09C', '10C', '12C', '14C')",89.13097,5,997996.0
"('06C', '09C', '10C', '12C', '14C')",89.13096000000002,5,997994.0
"('05C', '09C', '10C', '12C', '14C')",89.13095000000001,5,997993.0
"('04C', '09C', '10C', '12C', '14C')",89.13094000000001,5,997991.0
"('03C', '09C', '10C', '12C', '14C')",89.13093,5,997990.0
"('02C', '09C', '10C', '12C', '14C')",89.13092000000002,5,997988.0
"('07C', '08C', '10C', '12C', '14C')",89.13087,5,997987.0
"('06C', '08C', '10C', '12C', '14C')",89.13086000000001,5,997985.0
"('05C', '08C', '10C', '12C', '14C')",89.13085000000001,5,997983.0
"('04C', '08C', '10C', '12C', '14C')",89.13084,5,997982.0
"('03C', '08C', '10C', '12C', '14C')",89.13083,5,997980.0
"('02C', '08C', '10C', '12C', '14C')",89.13082000000001,5,997979.0
"('06C', '07C', '10C', '12C', '14C')",89.13076000000001,5,997977.0
"('05C', '07C', '10C', '12C', '14C')",89.13075,5,997976.0
"('04C', '07C', '10C', '12C', '14C')",89.13074,5,997974.0
"('03C', '07C', '10C', '12C', '14C')",89.13073,5,997973.0
"('02C', '07C', '10C', '12C', '14C')",89.13072000000001,5,997971.0
"('05C', '06C', '10C', '12C', '14C')",89.13065000000002,5,997970.0
"('04C', '06C', '10C', '12C', '14C')",89.13064000000001,5,997968.0
"('03C', '06C', '10C', '12C', '14C')",89.13063000000001,5,997966.0
"('02C', '06C', '10C', '12C', '14C')",89.13062000000002,5,997965.0
"('04C', '05C', '10C', '12C', '14C')",89.13054000000001,5,997963.0
"('03C', '05C', '10C', '12C', '14C')",89.13053000000001,5,997962.0
"('02C', '05C', '10C', '12C', '14C')",89.13052000000002,5,997960.0
"('03C', '04C', '10C', '12C', '14C')",89.13043,5,997959.0
"('02C', '04C', '10C', '12C', '14C')",89.13042000000002,5,997957.0
"('02C', '03C', '10C', '12C', '14C')",89.13032000000001,5,997956.0
"('07C', '08C', '09C', '12C', '14C')",89.12987,5,997954.0
"('06C', '08C', '09C', '12C', '14C')",89.12986000000001,5,997953.0
