,top,mid,bot,s1,s2,s3,sc1,sc2
54219,"['06H', '10S', '11D']","['03C', '04D', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.106,13.087430000000001,162.0,236.17043,232.59886
63291,"['08H', '10S', '11D']","['03C', '04D', '06H', '07S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.107999999999999,13.076430000000002,162.0,236.17043,232.58486
26806,"['04D', '10S', '11D']","['03C', '06H', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.104,13.08763,162.0,236.15963,232.59126
12946,"['03C', '10S', '11D']","['04D', '06H', '07S', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",11.103,13.08764,162.0,236.15413999999998,232.58728
52959,"['06H', '08H', '11D']","['03C', '04D', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.086,13.10743,162.0,236.08043,232.55886
25546,"['04D', '08H', '11D']","['03C', '06H', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.084,13.10763,162.0,236.06963,232.55126
11686,"['03C', '08H', '11D']","['04D', '06H', '07S', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.083,13.10764,162.0,236.06414,232.54728
51447,"['06H', '07S', '11D']","['03C', '04D', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.076,13.10843,162.0,236.02643,232.52086
24034,"['04D', '07S', '11D']","['03C', '06H', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.074,13.10863,162.0,236.01563,232.51326
10174,"['03C', '07S', '11D']","['04D', '06H', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.073,13.10864,162.0,236.01013999999998,232.50928
22270,"['04D', '06H', '11D']","['03C', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.064,13.10873,162.0,235.96073,232.47346
8410,"['03C', '06H', '11D']","['04D', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.063,13.10874,162.0,235.95524,232.46948
1711,"['03C', '04D', '11D']","['06H', '07S', '08H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",11.043,13.108759999999998,162.0,235.84526,232.38952
57999,"['07S', '08H', '10S']","['03C', '04D', '06H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.087,13.116430000000001,162.0,230.59493,228.58086
25294,"['04D', '08H', '10S']","['03C', '06H', '07S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.084,13.11763,162.0,230.57963,228.57126
11434,"['03C', '08H', '10S']","['04D', '06H', '07S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.083,13.11764,162.0,230.57414,228.56727999999998
23782,"['04D', '07S', '10S']","['03C', '06H', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.074,13.11863,162.0,230.52562999999998,228.53325999999998
9922,"['03C', '07S', '10S']","['04D', '06H', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.073,13.11864,162.0,230.52014,228.52928
22018,"['04D', '06H', '10S']","['03C', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.064,13.11873,162.0,230.47073,228.49346
8158,"['03C', '06H', '10S']","['04D', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.063,13.118739999999999,162.0,230.46524,228.48948000000001
1459,"['03C', '04D', '10S']","['06H', '07S', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",10.043,13.118759999999998,162.0,230.35526,228.40952
50943,"['06H', '07S', '08H']","['03C', '04D', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.076,13.12043,162.0,219.53843,220.54486
9670,"['03C', '07S', '08H']","['04D', '06H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.073,13.12064,162.0,219.52214,220.53328
7906,"['03C', '06H', '08H']","['04D', '07S', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.063,13.12074,162.0,219.46724,220.49348
1207,"['03C', '04D', '08H']","['06H', '07S', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",8.043,13.120759999999999,162.0,219.35726,220.41352
21514,"['04D', '06H', '07S']","['03C', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",7.063999999999999,13.12083,162.0,213.97283,216.49766
703,"['03C', '04D', '06H']","['07S', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",6.043,13.120869999999998,162.0,208.35737,212.41374
67878,"['10S', '11D', '13S']","['03C', '05C', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.12,57.0,73.0,202.16,239.48
67898,"['10S', '11D', '13S']","['03C', '05H', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.12,57.0,73.0,202.16,239.48
49265,"['05H', '11D', '13S']","['03C', '10S', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.115,57.0,73.0,202.1325,239.46
40193,"['05C', '11D', '13S']","['03C', '10S', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.115,57.0,73.0,202.1325,239.46
15098,"['03C', '11D', '13S']","['05H', '10S', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.113,57.0,73.0,202.1215,239.452
15063,"['03C', '11D', '13S']","['05C', '10S', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.113,57.0,73.0,202.1215,239.452
48257,"['05H', '10S', '13S']","['03C', '11D', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.105,57.0,73.0,202.0775,239.42000000000002
39185,"['05C', '10S', '13S']","['03C', '11D', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.105,57.0,73.0,202.0775,239.42000000000002
14055,"['03C', '10S', '13S']","['05C', '11D', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.103,57.0,73.0,202.06650000000002,239.412
14090,"['03C', '10S', '13S']","['05H', '11D', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.103,57.0,73.0,202.06650000000002,239.412
7559,"['03C', '05H', '13S']","['10S', '11D', '12C', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.053,57.0,73.0,201.79149999999998,239.212
5291,"['03C', '05C', '13S']","['10S', '11D', '12C', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.053,57.0,73.0,201.79149999999998,239.212
68033,"['10S', '11D', '13S']","['05H', '08H', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.12,57.0,72.0,201.16,238.48
68018,"['10S', '11D', '13S']","['05C', '08H', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.12,57.0,72.0,201.16,238.48
65513,"['08H', '11D', '13S']","['05H', '10S', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.117999999999999,57.0,72.0,201.149,238.47199999999998
65498,"['08H', '11D', '13S']","['05C', '10S', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.117999999999999,57.0,72.0,201.149,238.47199999999998
49391,"['05H', '11D', '13S']","['08H', '10S', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.115,57.0,72.0,201.1325,238.46
40319,"['05C', '11D', '13S']","['08H', '10S', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.115,57.0,72.0,201.1325,238.46
64505,"['08H', '10S', '13S']","['05H', '11D', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.107999999999999,57.0,72.0,201.094,238.432
64490,"['08H', '10S', '13S']","['05C', '11D', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.107999999999999,57.0,72.0,201.094,238.432
39311,"['05C', '10S', '13S']","['08H', '11D', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.105,57.0,72.0,201.0775,238.42000000000002
48383,"['05H', '10S', '13S']","['08H', '11D', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.105,57.0,72.0,201.0775,238.42000000000002
38051,"['05C', '08H', '13S']","['10S', '11D', '12C', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.085,57.0,72.0,200.9675,238.34
47123,"['05H', '08H', '13S']","['10S', '11D', '12C', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.085,57.0,72.0,200.9675,238.34
955,"['03C', '04D', '07S']","['06H', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.120859999999999,162.0,197.12086,204.24172
7654,"['03C', '06H', '07S']","['04D', '08H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.12084,162.0,197.12084,204.24168
21766,"['04D', '06H', '08H']","['03C', '07S', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.12073,162.0,197.12073,204.24146000000002
23530,"['04D', '07S', '08H']","['03C', '06H', '10S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.12063,162.0,197.12063,204.24126
51195,"['06H', '07S', '10S']","['03C', '04D', '08H', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.11843,162.0,197.11843,204.23686
52707,"['06H', '08H', '10S']","['03C', '04D', '07S', '11D', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.11743,162.0,197.11743,204.23486
58251,"['07S', '08H', '11D']","['03C', '04D', '06H', '10S', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.106430000000001,162.0,197.10643,204.21286
59511,"['07S', '10S', '11D']","['03C', '04D', '06H', '08H', '13S']","['05C', '05H', '12C', '12H', '12S']",4.0,13.086430000000002,162.0,197.08643,204.17286000000001
47249,"['05H', '10S', '11D']","['03C', '12C', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",11.105,57.0,73.0,191.0775,231.42000000000002
38177,"['05C', '10S', '11D']","['03C', '12C', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",11.105,57.0,73.0,191.0775,231.42000000000002
13082,"['03C', '10S', '11D']","['05H', '12C', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",11.103,57.0,73.0,191.0665,231.412
13047,"['03C', '10S', '11D']","['05C', '12C', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",11.103,57.0,73.0,191.0665,231.412
4283,"['03C', '05C', '11D']","['10S', '12C', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",11.053,57.0,73.0,190.7915,231.212
6551,"['03C', '05H', '11D']","['10S', '12C', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",11.053,57.0,73.0,190.7915,231.212
63497,"['08H', '10S', '11D']","['05H', '12C', '12H', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",11.107999999999999,57.0,72.0,190.094,230.432
63482,"['08H', '10S', '11D']","['05C', '12C', '12H', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",11.107999999999999,57.0,72.0,190.094,230.432
38303,"['05C', '10S', '11D']","['08H', '12C', '12H', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",11.105,57.0,72.0,190.0775,230.42000000000002
47375,"['05H', '10S', '11D']","['08H', '12C', '12H', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",11.105,57.0,72.0,190.0775,230.42000000000002
46115,"['05H', '08H', '11D']","['10S', '12C', '12H', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",11.085,57.0,72.0,189.9675,230.34
37043,"['05C', '08H', '11D']","['10S', '12C', '12H', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",11.085,57.0,72.0,189.9675,230.34
6299,"['03C', '05H', '10S']","['11D', '12C', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",10.053,57.0,73.0,185.2915,227.212
4031,"['03C', '05C', '10S']","['11D', '12C', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",10.053,57.0,73.0,185.2915,227.212
45863,"['05H', '08H', '10S']","['11D', '12C', '12H', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",10.085,57.0,72.0,184.4675,226.34
36791,"['05C', '08H', '10S']","['11D', '12C', '12H', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",10.085,57.0,72.0,184.4675,226.34
69410,"['10S', '12S', '13S']","['03C', '05H', '11D', '12C', '12H']","['04D', '05C', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
69390,"['10S', '12S', '13S']","['03C', '05C', '11D', '12C', '12H']","['04D', '05H', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
69158,"['10S', '12H', '13S']","['03C', '05H', '11D', '12C', '12S']","['04D', '05C', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
69138,"['10S', '12H', '13S']","['03C', '05C', '11D', '12C', '12S']","['04D', '05H', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
68654,"['10S', '12C', '13S']","['03C', '05H', '11D', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
68634,"['10S', '12C', '13S']","['03C', '05C', '11D', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.129999999999999,27.115299999999998,73.0,172.3303,179.7506
70922,"['11D', '12S', '13S']","['03C', '05H', '10S', '12C', '12H']","['04D', '05C', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
70670,"['11D', '12H', '13S']","['03C', '05H', '10S', '12C', '12S']","['04D', '05C', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
70650,"['11D', '12H', '13S']","['03C', '05C', '10S', '12C', '12S']","['04D', '05H', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
70166,"['11D', '12C', '13S']","['03C', '05H', '10S', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
70902,"['11D', '12S', '13S']","['03C', '05C', '10S', '12C', '12H']","['04D', '05H', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
70146,"['11D', '12C', '13S']","['03C', '05C', '10S', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.130999999999998,27.1053,73.0,172.3258,179.7346
50021,"['05H', '12C', '13S']","['03C', '10S', '11D', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
50777,"['05H', '12S', '13S']","['03C', '10S', '11D', '12C', '12H']","['04D', '05C', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
41453,"['05C', '12H', '13S']","['03C', '10S', '11D', '12C', '12S']","['04D', '05H', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
41705,"['05C', '12S', '13S']","['03C', '10S', '11D', '12C', '12H']","['04D', '05H', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
40949,"['05C', '12C', '13S']","['03C', '10S', '11D', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
50525,"['05H', '12H', '13S']","['03C', '10S', '11D', '12C', '12S']","['04D', '05C', '06H', '07S', '08H']",13.125,27.1203,73.0,172.3078,179.7406
16610,"['03C', '12S', '13S']","['05H', '10S', '11D', '12C', '12H']","['04D', '05C', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
16358,"['03C', '12H', '13S']","['05H', '10S', '11D', '12C', '12S']","['04D', '05C', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
16323,"['03C', '12H', '13S']","['05C', '10S', '11D', '12C', '12S']","['04D', '05H', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
15854,"['03C', '12C', '13S']","['05H', '10S', '11D', '12H', '12S']","['04D', '05C', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
15819,"['03C', '12C', '13S']","['05C', '10S', '11D', '12H', '12S']","['04D', '05H', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
16575,"['03C', '12S', '13S']","['05C', '10S', '11D', '12C', '12H']","['04D', '05H', '06H', '07S', '08H']",13.123,27.1205,73.0,172.297,179.733
69545,"['10S', '12S', '13S']","['05H', '08H', '11D', '12C', '12H']","['03C', '04D', '05C', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
69530,"['10S', '12S', '13S']","['05C', '08H', '11D', '12C', '12H']","['03C', '04D', '05H', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
69293,"['10S', '12H', '13S']","['05H', '08H', '11D', '12C', '12S']","['03C', '04D', '05C', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
69278,"['10S', '12H', '13S']","['05C', '08H', '11D', '12C', '12S']","['03C', '04D', '05H', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
68774,"['10S', '12C', '13S']","['05C', '08H', '11D', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
68789,"['10S', '12C', '13S']","['05H', '08H', '11D', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.129999999999999,27.118499999999997,72.0,171.3335,178.757
71057,"['11D', '12S', '13S']","['05H', '08H', '10S', '12C', '12H']","['03C', '04D', '05C', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
71042,"['11D', '12S', '13S']","['05C', '08H', '10S', '12C', '12H']","['03C', '04D', '05H', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
70805,"['11D', '12H', '13S']","['05H', '08H', '10S', '12C', '12S']","['03C', '04D', '05C', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
70790,"['11D', '12H', '13S']","['05C', '08H', '10S', '12C', '12S']","['03C', '04D', '05H', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
70301,"['11D', '12C', '13S']","['05H', '08H', '10S', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
70286,"['11D', '12C', '13S']","['05C', '08H', '10S', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.130999999999998,27.1085,72.0,171.32899999999998,178.74099999999999
66773,"['08H', '12H', '13S']","['05H', '10S', '11D', '12C', '12S']","['03C', '04D', '05C', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
66758,"['08H', '12H', '13S']","['05C', '10S', '11D', '12C', '12S']","['03C', '04D', '05H', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
67025,"['08H', '12S', '13S']","['05H', '10S', '11D', '12C', '12H']","['03C', '04D', '05C', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
67010,"['08H', '12S', '13S']","['05C', '10S', '11D', '12C', '12H']","['03C', '04D', '05H', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
66254,"['08H', '12C', '13S']","['05C', '10S', '11D', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
66269,"['08H', '12C', '13S']","['05H', '10S', '11D', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.127999999999998,27.1205,72.0,171.3245,178.753
50147,"['05H', '12C', '13S']","['08H', '10S', '11D', '12H', '12S']","['03C', '04D', '05C', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
41075,"['05C', '12C', '13S']","['08H', '10S', '11D', '12H', '12S']","['03C', '04D', '05H', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
41579,"['05C', '12H', '13S']","['08H', '10S', '11D', '12C', '12S']","['03C', '04D', '05H', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
50651,"['05H', '12H', '13S']","['08H', '10S', '11D', '12C', '12S']","['03C', '04D', '05C', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
41831,"['05C', '12S', '13S']","['08H', '10S', '11D', '12C', '12H']","['03C', '04D', '05H', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
50903,"['05H', '12S', '13S']","['08H', '10S', '11D', '12C', '12H']","['03C', '04D', '05C', '06H', '07S']",13.125,27.120800000000003,72.0,171.3083,178.7416
67626,"['10S', '11D', '12S']","['03C', '05C', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
67646,"['10S', '11D', '12S']","['03C', '05H', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
67394,"['10S', '11D', '12H']","['03C', '05H', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
67374,"['10S', '11D', '12H']","['03C', '05C', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
67122,"['10S', '11D', '12C']","['03C', '05C', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
67142,"['10S', '11D', '12C']","['03C', '05H', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.12,27.135299999999997,73.0,166.7953,175.7506
39437,"['05C', '11D', '12C']","['03C', '10S', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
39689,"['05C', '11D', '12H']","['03C', '10S', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
48509,"['05H', '11D', '12C']","['03C', '10S', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
49013,"['05H', '11D', '12S']","['03C', '10S', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
39941,"['05C', '11D', '12S']","['03C', '10S', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
48761,"['05H', '11D', '12H']","['03C', '10S', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.115,27.1403,73.0,166.77280000000002,175.7406
14594,"['03C', '11D', '12H']","['05H', '10S', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
14559,"['03C', '11D', '12H']","['05C', '10S', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
14811,"['03C', '11D', '12S']","['05C', '10S', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
14342,"['03C', '11D', '12C']","['05H', '10S', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
14846,"['03C', '11D', '12S']","['05H', '10S', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
14307,"['03C', '11D', '12C']","['05C', '10S', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.113,27.1405,73.0,166.762,175.733
47501,"['05H', '10S', '12C']","['03C', '11D', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
47753,"['05H', '10S', '12H']","['03C', '11D', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
38681,"['05C', '10S', '12H']","['03C', '11D', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
38933,"['05C', '10S', '12S']","['03C', '11D', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
48005,"['05H', '10S', '12S']","['03C', '11D', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
38429,"['05C', '10S', '12C']","['03C', '11D', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.105,27.141299999999998,73.0,166.7188,175.7026
13838,"['03C', '10S', '12S']","['05H', '11D', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
13803,"['03C', '10S', '12S']","['05C', '11D', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
13586,"['03C', '10S', '12H']","['05H', '11D', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
13551,"['03C', '10S', '12H']","['05C', '11D', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
13334,"['03C', '10S', '12C']","['05H', '11D', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
13299,"['03C', '10S', '12C']","['05C', '11D', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.103,27.141499999999997,73.0,166.708,175.695
4787,"['03C', '05C', '12H']","['10S', '11D', '12C', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
7307,"['03C', '05H', '12S']","['10S', '11D', '12C', '12H', '13S']","['04D', '05C', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
5039,"['03C', '05C', '12S']","['10S', '11D', '12C', '12H', '13S']","['04D', '05H', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
7055,"['03C', '05H', '12H']","['10S', '11D', '12C', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
4535,"['03C', '05C', '12C']","['10S', '11D', '12H', '12S', '13S']","['04D', '05H', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
6803,"['03C', '05H', '12C']","['10S', '11D', '12H', '12S', '13S']","['04D', '05C', '06H', '07S', '08H']",12.053,27.142,73.0,166.43349999999998,175.496
67529,"['10S', '11D', '12H']","['05H', '08H', '12C', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
67781,"['10S', '11D', '12S']","['05H', '08H', '12C', '12H', '13S']","['03C', '04D', '05C', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
67277,"['10S', '11D', '12C']","['05H', '08H', '12H', '12S', '13S']","['03C', '04D', '05C', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
67262,"['10S', '11D', '12C']","['05C', '08H', '12H', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
67514,"['10S', '11D', '12H']","['05C', '08H', '12C', '12S', '13S']","['03C', '04D', '05H', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
67766,"['10S', '11D', '12S']","['05C', '08H', '12C', '12H', '13S']","['03C', '04D', '05H', '06H', '07S']",12.12,27.138499999999997,72.0,165.7985,174.757
40067,"['05C', '11D', '12S']","['08H', '10S', '12C', '12H', '13S']","['03C', '04D', '05H', '06H', '07S']",12.115,27.140800000000002,72.0,165.7733,174.7416
