hand,value,handvalue,score
"('14S', '09S', '09D', '09C', '09H')",114.14,,999893.0
"('13S', '09S', '09D', '09C', '09H')",114.13,,999892.0
"('12D', '09S', '09D', '09C', '09H')",114.12,,999890.0
"('11D', '09S', '09D', '09C', '09H')",114.11,,999889.0
"('10D', '09S', '09D', '09C', '09H')",114.1,,999887.0
"('08H', '09S', '09D', '09C', '09H')",114.08,,999886.0
"('09S', '09D', '09C', '07D', '09H')",114.07,,999884.0
"('06C', '09S', '09D', '09C', '09H')",114.06,,999883.0
"('05S', '09S', '09D', '09C', '09H')",114.05,,999881.0
"('04C', '09S', '09D', '09C', '09H')",114.04,,999880.0
"('03S', '09S', '09D', '09C', '09H')",114.03,,999878.0
"('02D', '09S', '09D', '09C', '09H')",114.02,,999876.0
"('14S', '08H', '08D', '08C', '08S')",113.14,,999875.0
"('13S', '08H', '08D', '08C', '08S')",113.13,,999873.0
"('12D', '08H', '08D', '08C', '08S')",113.12,,999872.0
"('11D', '08H', '08D', '08C', '08S')",113.11,,999870.0
"('10D', '08H', '08D', '08C', '08S')",113.1,,999869.0
"('08H', '09S', '08D', '08C', '08S')",113.09,,999867.0
"('08H', '08D', '07D', '08C', '08S')",113.07,,999866.0
"('06C', '08H', '08D', '08C', '08S')",113.06,,999864.0
"('05S', '08H', '08D', '08C', '08S')",113.05,,999863.0
"('08H', '04C', '08D', '08C', '08S')",113.04,,999861.0
"('03S', '08H', '08D', '08C', '08S')",113.03,,999860.0
"('02D', '08H', '08D', '08C', '08S')",113.02,,999858.0
"('14S', '07D', '07S', '07H', '07C')",112.14,,999856.0
"('13S', '07D', '07S', '07H', '07C')",112.13,,999855.0
"('12D', '07D', '07S', '07H', '07C')",112.12,,999853.0
"('11D', '07D', '07S', '07H', '07C')",112.11,,999852.0
"('10D', '07D', '07S', '07H', '07C')",112.1,,999850.0
"('09S', '07D', '07S', '07H', '07C')",112.09,,999849.0
"('08H', '07D', '07S', '07H', '07C')",112.08,,999847.0
"('06C', '07D', '07S', '07H', '07C')",112.06,,999846.0
"('05S', '07D', '07S', '07H', '07C')",112.05,,999844.0
"('04C', '07D', '07S', '07H', '07C')",112.04,,999843.0
"('03S', '07D', '07S', '07H', '07C')",112.03,,999841.0
"('02D', '07D', '07S', '07H', '07C')",112.02,,999840.0
"('06C', '14S', '06H', '06S', '06D')",111.14,,999838.0
"('06C', '13S', '06H', '06S', '06D')",111.13,,999836.0
"('06C', '12D', '06H', '06S', '06D')",111.12,,999835.0
"('11D', '06C', '06H', '06S', '06D')",111.11,,999833.0
"('10D', '06C', '06H', '06S', '06D')",111.1,,999832.0
"('06C', '09S', '06H', '06S', '06D')",111.09,,999830.0
"('06C', '08H', '06H', '06S', '06D')",111.08,,999829.0
"('06C', '07D', '06H', '06S', '06D')",111.07,,999827.0
"('06C', '05S', '06H', '06S', '06D')",111.05,,999826.0
"('06C', '04C', '06H', '06S', '06D')",111.04,,999824.0
"('06C', '03S', '06H', '06S', '06D')",111.03,,999823.0
"('06C', '02D', '06H', '06S', '06D')",111.02,,999821.0
"('05S', '14S', '05D', '05C', '05H')",110.14,,999820.0
"('05S', '13S', '05D', '05C', '05H')",110.13,,999818.0
"('12D', '05S', '05D', '05C', '05H')",110.12,,999816.0
"('11D', '05S', '05D', '05C', '05H')",110.11,,999815.0
"('10D', '05S', '05D', '05C', '05H')",110.1,,999813.0
"('05S', '09S', '05D', '05C', '05H')",110.09,,999812.0
"('05S', '08H', '05D', '05C', '05H')",110.08,,999810.0
"('05S', '05D', '07D', '05C', '05H')",110.07,,999809.0
"('06C', '05S', '05D', '05C', '05H')",110.06,,999807.0
"('05S', '04C', '05D', '05C', '05H')",110.04,,999806.0
"('03S', '05S', '05D', '05C', '05H')",110.03,,999804.0
"('02D', '05S', '05D', '05C', '05H')",110.02,,999803.0
"('14S', '04C', '04D', '04H', '04S')",109.14,,999801.0
"('13S', '04C', '04D', '04H', '04S')",109.13,,999800.0
"('12D', '04C', '04D', '04H', '04S')",109.12,,999798.0
"('11D', '04C', '04D', '04H', '04S')",109.11,,999796.0
"('10D', '04C', '04D', '04H', '04S')",109.1,,999795.0
"('04C', '09S', '04D', '04H', '04S')",109.09,,999793.0
"('08H', '04C', '04D', '04H', '04S')",109.08,,999792.0
"('04C', '04D', '07D', '04H', '04S')",109.07,,999790.0
"('06C', '04C', '04D', '04H', '04S')",109.06,,999789.0
"('05S', '04C', '04D', '04H', '04S')",109.05,,999787.0
"('03S', '04C', '04D', '04H', '04S')",109.03,,999786.0
"('02D', '04C', '04D', '04H', '04S')",109.02,,999784.0
"('03S', '03D', '14S', '03H', '03C')",108.14,,999783.0
"('03S', '03D', '13S', '03H', '03C')",108.13,,999781.0
"('03S', '12D', '03D', '03H', '03C')",108.12,,999780.0
"('11D', '03S', '03D', '03H', '03C')",108.11,,999778.0
"('10D', '03S', '03D', '03H', '03C')",108.1,,999776.0
"('03S', '03D', '09S', '03H', '03C')",108.09,,999775.0
"('03S', '03D', '08H', '03H', '03C')",108.08,,999773.0
"('03S', '03D', '07D', '03H', '03C')",108.07,,999772.0
"('06C', '03S', '03D', '03H', '03C')",108.06,,999770.0
"('03S', '03D', '05S', '03H', '03C')",108.05,,999769.0
"('03S', '03D', '04C', '03H', '03C')",108.04,,999767.0
"('03S', '02D', '03D', '03H', '03C')",108.02,,999766.0
"('02D', '02C', '02S', '14S', '02H')",107.14,,999764.0
"('02D', '02C', '02S', '13S', '02H')",107.13,,999763.0
"('12D', '02D', '02C', '02S', '02H')",107.12,,999761.0
"('11D', '02D', '02C', '02S', '02H')",107.11,,999760.0
"('10D', '02D', '02C', '02S', '02H')",107.1,,999758.0
"('02D', '02C', '02S', '09S', '02H')",107.09,,999756.0
"('02D', '02C', '02S', '08H', '02H')",107.08,,999755.0
"('02D', '02C', '02S', '07D', '02H')",107.07,,999753.0
"('06C', '02D', '02C', '02S', '02H')",107.06,,999752.0
"('02D', '02C', '05S', '02S', '02H')",107.05,,999750.0
"('02D', '02C', '02S', '04C', '02H')",107.04,,999749.0
"('03S', '02D', '02C', '02S', '02H')",107.03,,999747.0
"('14S', '13S', '14H', '13D', '14C')",104.13,,999746.0
"('12D', '12S', '14S', '14H', '14C')",104.12,,999736.0
"('11D', '14S', '14H', '14C', '11S')",104.11,,999727.0
"('10D', '10C', '14S', '14H', '14C')",104.1,,999718.0
"('14S', '14H', '14C', '09S', '09D')",104.09,,999709.0
"('14S', '14H', '08H', '14C', '08D')",104.08,,999699.0
"('14S', '14H', '14C', '07D', '07S')",104.07,,999690.0
"('06C', '14S', '14H', '14C', '06H')",104.06,,999681.0
"('05S', '14S', '14H', '14C', '05D')",104.05,,999672.0
"('14S', '14H', '04C', '14C', '04D')",104.04,,999663.0
"('03S', '03D', '14S', '14H', '14C')",104.03,,999653.0
"('02D', '02C', '14S', '14H', '14C')",104.02,,999644.0
"('14S', '13S', '14H', '13D', '13C')",103.14,,999635.0
"('12D', '12S', '13S', '13D', '13C')",103.12,,999626.0
"('11D', '13S', '13D', '13C', '11S')",103.11,,999616.0
"('10D', '10C', '13S', '13D', '13C')",103.1,,999607.0
"('13S', '13D', '13C', '09S', '09D')",103.09,,999598.0
"('13S', '13D', '08H', '13C', '08D')",103.08,,999589.0
"('13S', '13D', '13C', '07D', '07S')",103.07,,999579.0
"('06C', '13S', '13D', '13C', '06H')",103.06,,999570.0
"('05S', '13S', '13D', '13C', '05D')",103.05,,999561.0
"('13S', '13D', '04C', '13C', '04D')",103.04,,999552.0
"('03S', '03D', '13S', '13D', '13C')",103.03,,999543.0
"('02D', '02C', '13S', '13D', '13C')",103.02,,999533.0
"('12D', '12S', '14S', '14H', '12H')",102.14,,999524.0
"('12D', '12S', '13S', '13D', '12H')",102.13,,999515.0
"('11D', '12D', '12S', '12H', '11S')",102.11,,999506.0
"('10D', '10C', '12D', '12S', '12H')",102.1,,999496.0
"('12D', '12S', '09S', '12H', '09D')",102.09,,999487.0
"('12D', '12S', '08H', '12H', '08D')",102.08,,999478.0
"('12D', '12S', '12H', '07D', '07S')",102.07,,999469.0
"('06C', '12D', '12S', '12H', '06H')",102.06,,999459.0
"('12D', '05S', '12S', '05D', '12H')",102.05,,999450.0
"('12D', '12S', '04C', '12H', '04D')",102.04,,999441.0
"('03S', '12D', '03D', '12S', '12H')",102.03,,999432.0
"('12D', '02D', '02C', '12S', '12H')",102.02,,999422.0
"('11D', '14S', '14H', '11S', '11H')",101.14,,999413.0
"('11D', '13S', '13D', '11S', '11H')",101.13,,999404.0
"('11D', '12D', '12S', '11S', '11H')",101.12,,999395.0
"('11D', '10D', '10C', '11S', '11H')",101.1,,999386.0
"('11D', '09S', '09D', '11S', '11H')",101.09,,999376.0
"('11D', '08H', '08D', '11S', '11H')",101.08,,999367.0
"('11D', '07D', '11S', '11H', '07S')",101.07,,999358.0
"('11D', '06C', '11S', '11H', '06H')",101.06,,999349.0
"('11D', '05S', '05D', '11S', '11H')",101.05,,999339.0
"('11D', '04C', '04D', '11S', '11H')",101.04,,999330.0
"('11D', '03S', '03D', '11S', '11H')",101.03,,999321.0
"('11D', '02D', '02C', '11S', '11H')",101.02,,999312.0
"('10D', '10C', '14S', '14H', '10H')",100.14,,999302.0
"('10D', '10C', '13S', '10H', '13D')",100.13,,999293.0
"('10D', '10C', '12D', '12S', '10H')",100.12,,999284.0
"('11D', '10D', '10C', '10H', '11S')",100.11,,999275.0
"('10D', '10C', '10H', '09S', '09D')",100.09,,999265.0
"('10D', '10C', '10H', '08H', '08D')",100.08,,999256.0
"('10D', '10C', '10H', '07D', '07S')",100.07,,999247.0
"('10D', '06C', '10C', '10H', '06H')",100.06,,999238.0
"('10D', '10C', '05S', '10H', '05D')",100.05,,999229.0
"('10D', '10C', '10H', '04C', '04D')",100.04,,999219.0
"('10D', '10C', '03S', '03D', '10H')",100.03,,999210.0
"('10D', '10C', '02D', '02C', '10H')",100.02,,999201.0
"('14S', '14H', '09S', '09D', '09C')",99.14,,999192.0
"('13S', '13D', '09S', '09D', '09C')",99.13,,999182.0
"('12D', '12S', '09S', '09D', '09C')",99.12,,999173.0
"('11D', '09S', '09D', '09C', '11S')",99.11,,999164.0
"('10D', '10C', '09S', '09D', '09C')",99.1,,999155.0
"('08H', '09S', '09D', '09C', '08D')",99.08,,999145.0
"('09S', '09D', '09C', '07D', '07S')",99.07,,999136.0
"('06C', '09S', '09D', '09C', '06H')",99.06,,999127.0
"('05S', '09S', '05D', '09D', '09C')",99.05,,999118.0
"('04C', '09S', '09D', '04D', '09C')",99.04,,999108.0
"('03S', '03D', '09S', '09D', '09C')",99.03,,999099.0
"('02D', '02C', '09S', '09D', '09C')",99.02,,999090.0
"('14S', '14H', '08H', '08D', '08C')",98.14,,999081.0
"('13S', '13D', '08H', '08D', '08C')",98.13,,999072.0
"('12D', '12S', '08H', '08D', '08C')",98.12,,999062.0
"('11D', '08H', '08D', '11S', '08C')",98.11,,999053.0
"('10D', '10C', '08H', '08D', '08C')",98.1,,999044.0
"('08H', '09S', '09D', '08D', '08C')",98.09,,999035.0
"('08H', '08D', '07D', '07S', '08C')",98.07,,999025.0
"('06C', '08H', '08D', '06H', '08C')",98.06,,999016.0
"('05S', '08H', '05D', '08D', '08C')",98.05,,999007.0
"('08H', '04C', '04D', '08D', '08C')",98.04,,998998.0
"('03S', '03D', '08H', '08D', '08C')",98.03,,998988.0
"('02D', '02C', '08H', '08D', '08C')",98.02,,998979.0
"('14S', '14H', '07D', '07S', '07H')",97.14,,998970.0
"('13S', '13D', '07D', '07S', '07H')",97.13,,998961.0
"('12D', '12S', '07D', '07S', '07H')",97.12,,998952.0
"('11D', '07D', '11S', '07S', '07H')",97.11,,998942.0
"('10D', '10C', '07D', '07S', '07H')",97.1,,998933.0
"('09S', '09D', '07D', '07S', '07H')",97.09,,998924.0
"('08H', '08D', '07D', '07S', '07H')",97.08,,998915.0
"('06C', '07D', '06H', '07S', '07H')",97.06,,998905.0
"('05S', '05D', '07D', '07S', '07H')",97.05,,998896.0
"('04C', '04D', '07D', '07S', '07H')",97.04,,998887.0
"('03S', '03D', '07D', '07S', '07H')",97.03,,998878.0
"('02D', '02C', '07D', '07S', '07H')",97.02,,998868.0
"('06C', '14S', '14H', '06H', '06S')",96.14,,998859.0
"('06C', '13S', '13D', '06H', '06S')",96.13,,998850.0
"('06C', '12D', '12S', '06H', '06S')",96.12,,998841.0
"('11D', '06C', '11S', '06H', '06S')",96.11,,998831.0
"('10D', '06C', '10C', '06H', '06S')",96.1,,998822.0
"('06C', '09S', '09D', '06H', '06S')",96.09,,998813.0
"('06C', '08H', '08D', '06H', '06S')",96.08,,998804.0
"('06C', '07D', '06H', '07S', '06S')",96.07,,998795.0
"('06C', '05S', '05D', '06H', '06S')",96.05,,998785.0
"('06C', '04C', '04D', '06H', '06S')",96.04,,998776.0
"('06C', '03S', '03D', '06H', '06S')",96.03,,998767.0
"('06C', '02D', '02C', '06H', '06S')",96.02,,998758.0
"('05S', '14S', '14H', '05D', '05C')",95.14,,998748.0
"('05S', '13S', '13D', '05D', '05C')",95.13,,998739.0
"('12D', '05S', '12S', '05D', '05C')",95.12,,998730.0
"('11D', '05S', '05D', '11S', '05C')",95.11,,998721.0
"('10D', '10C', '05S', '05D', '05C')",95.1,,998711.0
"('05S', '09S', '05D', '09D', '05C')",95.09,,998702.0
"('05S', '08H', '05D', '08D', '05C')",95.08,,998693.0
"('05S', '05D', '07D', '07S', '05C')",95.07,,998684.0
"('06C', '05S', '05D', '06H', '05C')",95.06,,998674.0
"('05S', '04C', '05D', '04D', '05C')",95.04,,998665.0
"('03S', '03D', '05S', '05D', '05C')",95.03,,998656.0
"('02D', '02C', '05S', '05D', '05C')",95.02,,998647.0
"('14S', '14H', '04C', '04D', '04H')",94.14,,998638.0
"('13S', '13D', '04C', '04D', '04H')",94.13,,998628.0
"('12D', '12S', '04C', '04D', '04H')",94.12,,998619.0
"('11D', '04C', '04D', '11S', '04H')",94.11,,998610.0
"('10D', '10C', '04C', '04D', '04H')",94.1,,998601.0
"('04C', '09S', '09D', '04D', '04H')",94.09,,998591.0
"('08H', '04C', '04D', '08D', '04H')",94.08,,998582.0
"('04C', '04D', '07D', '07S', '04H')",94.07,,998573.0
"('06C', '04C', '04D', '06H', '04H')",94.06,,998564.0
"('05S', '04C', '05D', '04D', '04H')",94.05,,998554.0
"('03S', '03D', '04C', '04D', '04H')",94.03,,998545.0
"('02D', '02C', '04C', '04D', '04H')",94.02,,998536.0
"('03S', '03D', '14S', '14H', '03H')",93.14,,998527.0
"('03S', '03D', '13S', '13D', '03H')",93.13,,998517.0
"('03S', '12D', '03D', '12S', '03H')",93.12,,998508.0
"('11D', '03S', '03D', '11S', '03H')",93.11,,998499.0
"('10D', '10C', '03S', '03D', '03H')",93.1,,998490.0
"('03S', '03D', '09S', '09D', '03H')",93.09,,998481.0
"('03S', '03D', '08H', '08D', '03H')",93.08,,998471.0
"('03S', '03D', '07D', '03H', '07S')",93.07,,998462.0
"('06C', '03S', '03D', '06H', '03H')",93.06,,998453.0
"('03S', '03D', '05S', '05D', '03H')",93.05,,998444.0
"('03S', '03D', '04C', '04D', '03H')",93.04,,998434.0
"('03S', '02D', '03D', '02C', '03H')",93.02,,998425.0
"('02D', '02C', '02S', '14S', '14H')",92.14,,998416.0
"('02D', '02C', '02S', '13S', '13D')",92.13,,998407.0
"('12D', '02D', '02C', '02S', '12S')",92.12,,998397.0
"('11D', '02D', '02C', '02S', '11S')",92.11,,998388.0
"('10D', '10C', '02D', '02C', '02S')",92.1,,998379.0
"('02D', '02C', '02S', '09S', '09D')",92.09,,998370.0
"('02D', '02C', '02S', '08H', '08D')",92.08,,998360.0
"('02D', '02C', '02S', '07D', '07S')",92.07,,998351.0
"('06C', '02D', '02C', '02S', '06H')",92.06,,998342.0
"('02D', '02C', '05S', '02S', '05D')",92.05,,998333.0
"('02D', '02C', '02S', '04C', '04D')",92.04,,998324.0
"('03S', '02D', '03D', '02C', '02S')",92.03,,998314.0
"('11D', '10D', '12D', '02D', '14D')",89.0,,998305.0
"('11D', '10D', '12D', '02D', '13D')",88.0,,997545.0
"('11D', '10D', '12D', '02D', '03D')",87.0,,997038.0
"('11D', '10D', '02D', '03D', '05D')",86.0,,996717.0
"('10D', '02D', '03D', '05D', '09D')",85.0,,996524.0
"('06C', '02C', '04C', '09C', '05C')",84.0,,996418.0
"('06C', '02C', '04C', '05C', '08C')",83.0,,996366.0
"('06C', '02C', '04C', '05C', '07C')",82.0,,996344.0
"('11D', '10D', '12D', '14S', '13S')",79.0,,996338.0
"('11D', '10D', '12D', '13S', '09S')",78.0,,995946.0
"('11D', '10D', '12D', '08H', '09S')",77.0,,995553.0
"('11D', '10D', '08H', '09S', '07D')",76.0,,995161.0
"('10D', '06C', '08H', '09S', '07D')",75.0,,994768.0
"('06C', '05S', '08H', '09S', '07D')",74.0,,994376.0
"('06C', '05S', '08H', '04C', '07D')",73.0,,993983.0
"('12D', '14S', '13S', '14H', '14C')",72.012,,993591.0
"('11D', '14S', '13S', '14H', '14C')",72.011,,993542.0
"('10D', '14S', '13S', '14H', '14C')",72.01,,993492.0
"('14S', '13S', '14H', '14C', '09S')",72.009,,993443.0
"('14S', '13S', '14H', '08H', '14C')",72.008,,993394.0
"('14S', '13S', '14H', '14C', '07D')",72.007,,993345.0
"('06C', '14S', '13S', '14H', '14C')",72.006,,993295.0
"('05S', '14S', '13S', '14H', '14C')",72.005,,993246.0
"('14S', '13S', '14H', '04C', '14C')",72.004,,993197.0
"('03S', '14S', '13S', '14H', '14C')",72.003,,993148.0
"('02D', '14S', '13S', '14H', '14C')",72.002,,993098.0
"('06C', '03S', '05S', '04C', '07D')",72.0,,993049.0
"('12D', '12S', '14S', '13S', '12H')",71.013,,992657.0
"('11D', '12D', '12S', '14S', '12H')",71.011,,992632.0
"('10D', '12D', '12S', '14S', '12H')",71.01,,992583.0
"('12D', '12S', '14S', '09S', '12H')",71.009,,992534.0
"('12D', '12S', '14S', '08H', '12H')",71.008,,992484.0
"('12D', '12S', '14S', '12H', '07D')",71.007,,992435.0
"('06C', '12D', '12S', '14S', '12H')",71.006,,992386.0
"('12D', '05S', '12S', '14S', '12H')",71.005,,992337.0
"('12D', '12S', '14S', '04C', '12H')",71.004,,992287.0
"('03S', '12D', '12S', '14S', '12H')",71.003,,992238.0
"('12D', '02D', '12S', '14S', '12H')",71.002,,992189.0
"('06C', '03S', '02D', '05S', '04C')",71.0,,992140.0
"('11D', '14S', '13S', '11S', '11H')",70.013,,991747.0
"('11D', '12D', '14S', '11S', '11H')",70.012,,991722.0
"('11D', '12D', '12S', '13S', '12H')",70.011,,991698.0
"('11D', '10D', '14S', '14H', '14C')",70.01,,991649.0
"('11D', '14S', '14H', '14C', '09S')",70.009,,991550.0
"('11D', '14S', '14H', '08H', '14C')",70.008,,991452.0
"('11D', '14S', '14H', '14C', '07D')",70.007,,991353.0
"('11D', '06C', '14S', '14H', '14C')",70.006,,991255.0
"('11D', '05S', '14S', '14H', '14C')",70.005,,991156.0
"('11D', '14S', '14H', '04C', '14C')",70.004,,991058.0
"('11D', '03S', '14S', '14H', '14C')",70.003,,990959.0
"('11D', '02D', '14S', '14H', '14C')",70.002,,990861.0
"('10D', '10C', '14S', '13S', '10H')",69.013,,990762.0
"('11D', '12D', '13S', '11S', '11H')",69.012,,990737.0
"('11D', '10D', '10C', '14S', '10H')",69.011,,990688.0
"('11D', '10D', '13S', '13D', '13C')",69.01,,990664.0
"('11D', '13S', '13D', '13C', '09S')",69.009,,990614.0
"('11D', '13S', '13D', '08H', '13C')",69.008,,990516.0
"('11D', '13S', '13D', '13C', '07D')",69.007,,990417.0
"('11D', '06C', '13S', '13D', '13C')",69.006,,990319.0
"('11D', '05S', '13S', '13D', '13C')",69.005,,990220.0
"('11D', '13S', '13D', '04C', '13C')",69.004,,990122.0
"('11D', '03S', '13S', '13D', '13C')",69.003,,990023.0
"('11D', '02D', '13S', '13D', '13C')",69.002,,989925.0
"('14S', '13S', '09S', '09D', '09C')",68.013,,989826.0
"('10D', '10C', '12D', '13S', '10H')",68.012,,989802.0
"('11D', '10D', '10C', '13S', '10H')",68.011,,989752.0
"('11D', '10D', '12D', '12S', '12H')",68.01,,989703.0
"('11D', '12D', '12S', '09S', '12H')",68.009,,989629.0
"('11D', '12D', '12S', '08H', '12H')",68.008,,989531.0
"('11D', '12D', '12S', '12H', '07D')",68.007,,989383.0
"('11D', '06C', '12D', '12S', '12H')",68.006,,989235.0
"('11D', '12D', '05S', '12S', '12H')",68.005,,989088.0
"('11D', '12D', '12S', '04C', '12H')",68.004,,988940.0
"('11D', '03S', '12D', '12S', '12H')",68.003,,988792.0
"('11D', '12D', '02D', '12S', '12H')",68.002,,988644.0
"('14S', '13S', '08H', '08D', '08C')",67.013,,988497.0
"('12D', '14S', '08H', '08D', '08C')",67.012,,988472.0
"('11D', '10D', '10C', '12D', '10H')",67.011,,988423.0
"('10D', '14S', '08H', '08D', '08C')",67.01,,988349.0
"('10D', '10C', '12D', '10H', '09S')",67.009,,988300.0
"('10D', '10C', '12D', '10H', '08H')",67.008,,988226.0
"('10D', '10C', '12D', '10H', '07D')",67.007,,988127.0
"('10D', '06C', '10C', '12D', '10H')",67.006,,987979.0
"('10D', '10C', '12D', '05S', '10H')",67.005,,987832.0
"('10D', '10C', '12D', '10H', '04C')",67.004,,987684.0
"('10D', '10C', '03S', '12D', '10H')",67.003,,987536.0
"('10D', '10C', '12D', '02D', '10H')",67.002,,987388.0
"('14S', '13S', '07D', '07S', '07H')",66.013,,987241.0
"('12D', '14S', '07D', '07S', '07H')",66.012,,987216.0
"('11D', '12D', '09S', '09D', '09C')",66.011,,987167.0
"('10D', '12D', '09S', '09D', '09C')",66.01,,987093.0
"('11D', '10D', '10C', '10H', '09S')",66.009,,987019.0
"('11D', '10D', '10C', '10H', '08H')",66.008,,986921.0
"('11D', '10D', '10C', '10H', '07D')",66.007,,986797.0
"('11D', '10D', '06C', '10C', '10H')",66.006,,986650.0
"('11D', '10D', '10C', '05S', '10H')",66.005,,986453.0
"('11D', '10D', '10C', '10H', '04C')",66.004,,986256.0
"('11D', '10D', '10C', '03S', '10H')",66.003,,986059.0
"('11D', '10D', '10C', '02D', '10H')",66.002,,985862.0
"('06C', '14S', '13S', '06H', '06S')",65.013,,985665.0
"('06C', '12D', '14S', '06H', '06S')",65.012,,985640.0
"('11D', '06C', '14S', '06H', '06S')",65.011,,985591.0
"('11D', '10D', '09S', '09D', '09C')",65.01,,985517.0
"('06C', '14S', '09S', '06H', '06S')",65.009,,985418.0
"('11D', '08H', '09S', '09D', '09C')",65.008,,985345.0
"('11D', '09S', '09D', '09C', '07D')",65.007,,985246.0
"('11D', '06C', '09S', '09D', '09C')",65.006,,985123.0
"('11D', '05S', '09S', '09D', '09C')",65.005,,984975.0
"('11D', '04C', '09S', '09D', '09C')",65.004,,984778.0
"('11D', '03S', '09S', '09D', '09C')",65.003,,984581.0
"('11D', '02D', '09S', '09D', '09C')",65.002,,984384.0
"('05S', '14S', '13S', '05D', '05C')",64.013,,984187.0
"('06C', '12D', '13S', '06H', '06S')",64.012,,984163.0
"('11D', '06C', '13S', '06H', '06S')",64.011,,984113.0
"('11D', '10D', '08H', '08D', '08C')",64.01,,984039.0
