hand,value,handvalue,score
"('11D', '10D', '12D', '13D', '14D')",134.0,,1000000.0
"('11D', '10D', '12D', '13D', '09D')",133.0,,999998.0
"('11D', '10D', '12D', '09D', '08D')",132.0,,999997.0
"('11D', '10D', '09D', '08D', '07D')",131.0,,999995.0
"('10D', '09D', '08D', '07D', '06D')",130.0,,999993.0
"('06C', '09C', '05C', '08C', '07C')",129.0,,999992.0
"('06C', '04C', '05C', '08C', '07C')",128.0,,999990.0
"('06C', '04C', '05C', '07C', '03C')",127.0,,999989.0
"('06C', '02C', '04C', '05C', '03C')",126.0,,999987.0
"('14S', '13S', '14H', '14C', '14D')",119.13,,999986.0
"('12D', '14S', '14H', '14C', '14D')",119.12,,999984.0
"('11D', '14S', '14H', '14C', '14D')",119.11,,999983.0
"('10D', '14S', '14H', '14C', '14D')",119.1,,999981.0
"('14S', '14H', '14C', '09S', '14D')",119.09,,999980.0
"('14S', '14H', '08H', '14C', '14D')",119.08,,999978.0
"('14S', '14H', '14C', '07D', '14D')",119.07,,999977.0
"('06C', '14S', '14H', '14C', '14D')",119.06,,999975.0
"('05S', '14S', '14H', '14C', '14D')",119.05,,999973.0
"('14S', '14H', '04C', '14C', '14D')",119.04,,999972.0
"('03S', '14S', '14H', '14C', '14D')",119.03,,999970.0
"('02D', '14S', '14H', '14C', '14D')",119.02,,999969.0
"('14S', '13S', '13D', '13C', '13H')",118.14,,999967.0
"('12D', '13S', '13D', '13C', '13H')",118.12,,999966.0
"('11D', '13S', '13D', '13C', '13H')",118.11,,999964.0
"('10D', '13S', '13D', '13C', '13H')",118.1,,999963.0
"('13S', '13D', '13C', '09S', '13H')",118.09,,999961.0
"('13S', '13D', '08H', '13C', '13H')",118.08,,999960.0
"('13S', '13D', '13C', '13H', '07D')",118.07,,999958.0
"('06C', '13S', '13D', '13C', '13H')",118.06,,999957.0
"('05S', '13S', '13D', '13C', '13H')",118.05,,999955.0
"('13S', '13D', '04C', '13C', '13H')",118.04,,999953.0
"('03S', '13S', '13D', '13C', '13H')",118.03,,999952.0
"('02D', '13S', '13D', '13C', '13H')",118.02,,999950.0
"('12D', '12S', '14S', '12H', '12C')",117.14,,999949.0
"('12D', '12S', '13S', '12H', '12C')",117.13,,999947.0
"('11D', '12D', '12S', '12H', '12C')",117.11,,999946.0
"('10D', '12D', '12S', '12H', '12C')",117.1,,999944.0
"('12D', '12S', '09S', '12H', '12C')",117.09,,999943.0
"('12D', '12S', '08H', '12H', '12C')",117.08,,999941.0
"('12D', '12S', '12H', '07D', '12C')",117.07,,999940.0
"('06C', '12D', '12S', '12H', '12C')",117.06,,999938.0
"('12D', '05S', '12S', '12H', '12C')",117.05,,999937.0
"('12D', '12S', '04C', '12H', '12C')",117.04,,999935.0
"('03S', '12D', '12S', '12H', '12C')",117.03,,999933.0
"('12D', '02D', '12S', '12H', '12C')",117.02,,999932.0
"('11D', '14S', '11S', '11H', '11C')",116.14,,999930.0
"('11D', '13S', '11S', '11H', '11C')",116.13,,999929.0
"('11D', '12D', '11S', '11H', '11C')",116.12,,999927.0
"('11D', '10D', '11S', '11H', '11C')",116.1,,999926.0
"('11D', '09S', '11S', '11H', '11C')",116.09,,999924.0
"('11D', '08H', '11S', '11H', '11C')",116.08,,999923.0
"('11D', '07D', '11S', '11H', '11C')",116.07,,999921.0
"('11D', '06C', '11S', '11H', '11C')",116.06,,999920.0
"('11D', '05S', '11S', '11H', '11C')",116.05,,999918.0
"('11D', '04C', '11S', '11H', '11C')",116.04,,999917.0
"('11D', '03S', '11S', '11H', '11C')",116.03,,999915.0
"('11D', '02D', '11S', '11H', '11C')",116.02,,999913.0
"('10D', '10C', '14S', '10H', '10S')",115.14,,999912.0
"('10D', '10C', '13S', '10H', '10S')",115.13,,999910.0
"('10D', '10C', '12D', '10H', '10S')",115.12,,999909.0
"('11D', '10D', '10C', '10H', '10S')",115.11,,999907.0
"('10D', '10C', '10H', '09S', '10S')",115.09,,999906.0
"('10D', '10C', '10H', '08H', '10S')",115.08,,999904.0
"('10D', '10C', '10H', '10S', '07D')",115.07,,999903.0
"('10D', '06C', '10C', '10H', '10S')",115.06,,999901.0
"('10D', '10C', '05S', '10H', '10S')",115.05,,999900.0
"('10D', '10C', '10H', '04C', '10S')",115.04,,999898.0
"('10D', '10C', '03S', '10H', '10S')",115.03,,999896.0
"('10D', '10C', '02D', '10H', '10S')",115.02,,999895.0
