score,hand,handtype,score2
135.0,"[10, 11, 12, 13, 14]",10,1000000.0
134.0,"[2, 3, 4, 5, 14]",9,999998.0
133.0,"[9, 10, 11, 12, 13]",8,999997.0
132.0,"[8, 9, 10, 11, 12]",8,999995.0
131.0,"[7, 8, 9, 10, 11]",8,999993.0
130.0,"[6, 7, 8, 9, 10]",8,999992.0
129.0,"[5, 6, 7, 8, 9]",8,999990.0
128.0,"[4, 5, 6, 7, 8]",8,999989.0
127.0,"[3, 4, 5, 6, 7]",8,999987.0
126.0,"[2, 3, 4, 5, 6]",8,999986.0
119.0,"[13, 14, 14, 14, 14]",7,999984.0
118.0,"[13, 13, 13, 13, 14]",7,999966.0
117.0,"[12, 12, 12, 12, 14]",7,999947.0
116.0,"[11, 11, 11, 11, 14]",7,999929.0
115.0,"[10, 10, 10, 10, 14]",7,999910.0
114.0,"[9, 9, 9, 9, 14]",7,999892.0
113.0,"[8, 8, 8, 8, 14]",7,999873.0
112.0,"[7, 7, 7, 7, 14]",7,999855.0
111.0,"[6, 6, 6, 6, 14]",7,999836.0
110.0,"[5, 5, 5, 5, 14]",7,999818.0
109.0,"[4, 4, 4, 4, 14]",7,999800.0
108.0,"[3, 3, 3, 3, 14]",7,999781.0
107.0,"[2, 2, 2, 2, 14]",7,999763.0
104.0,"[13, 13, 14, 14, 14]",6,999744.0
103.0,"[13, 13, 13, 14, 14]",6,999633.0
102.0,"[12, 12, 12, 14, 14]",6,999523.0
101.0,"[11, 11, 11, 14, 14]",6,999412.0
100.0,"[10, 10, 10, 14, 14]",6,999301.0
99.0,"[9, 9, 9, 14, 14]",6,999190.0
98.0,"[8, 8, 8, 14, 14]",6,999079.0
97.0,"[7, 7, 7, 14, 14]",6,998968.0
96.0,"[6, 6, 6, 14, 14]",6,998858.0
95.0,"[5, 5, 5, 14, 14]",6,998747.0
94.0,"[4, 4, 4, 14, 14]",6,998636.0
93.0,"[3, 3, 3, 14, 14]",6,998525.0
92.0,"[2, 2, 2, 14, 14]",6,998414.0
89.14319,"[9, 11, 12, 13, 14]",5,998304.0
89.14318,"[8, 11, 12, 13, 14]",5,998302.0
89.14317,"[7, 11, 12, 13, 14]",5,998300.0
89.14316,"[6, 11, 12, 13, 14]",5,998299.0
89.14315,"[5, 11, 12, 13, 14]",5,998297.0
89.14314,"[4, 11, 12, 13, 14]",5,998296.0
89.14313,"[3, 11, 12, 13, 14]",5,998294.0
89.14312,"[2, 11, 12, 13, 14]",5,998293.0
89.14309,"[9, 10, 12, 13, 14]",5,998291.0
89.14308,"[8, 10, 12, 13, 14]",5,998290.0
89.14307,"[7, 10, 12, 13, 14]",5,998288.0
89.14306,"[6, 10, 12, 13, 14]",5,998287.0
89.14305,"[5, 10, 12, 13, 14]",5,998285.0
89.14304,"[4, 10, 12, 13, 14]",5,998284.0
89.14303,"[3, 10, 12, 13, 14]",5,998282.0
89.14302,"[2, 10, 12, 13, 14]",5,998280.0
89.14298,"[8, 9, 12, 13, 14]",5,998279.0
89.14297,"[7, 9, 12, 13, 14]",5,998277.0
89.14296,"[6, 9, 12, 13, 14]",5,998276.0
89.14295,"[5, 9, 12, 13, 14]",5,998274.0
89.14294,"[4, 9, 12, 13, 14]",5,998273.0
89.14293,"[3, 9, 12, 13, 14]",5,998271.0
89.14292,"[2, 9, 12, 13, 14]",5,998270.0
89.14287,"[7, 8, 12, 13, 14]",5,998268.0
89.14286,"[6, 8, 12, 13, 14]",5,998267.0
89.14285,"[5, 8, 12, 13, 14]",5,998265.0
89.14284,"[4, 8, 12, 13, 14]",5,998264.0
89.14283,"[3, 8, 12, 13, 14]",5,998262.0
89.14282,"[2, 8, 12, 13, 14]",5,998260.0
89.14276,"[6, 7, 12, 13, 14]",5,998259.0
89.14275,"[5, 7, 12, 13, 14]",5,998257.0
89.14274,"[4, 7, 12, 13, 14]",5,998256.0
89.14273,"[3, 7, 12, 13, 14]",5,998254.0
89.14272,"[2, 7, 12, 13, 14]",5,998253.0
89.14265,"[5, 6, 12, 13, 14]",5,998251.0
89.14264,"[4, 6, 12, 13, 14]",5,998250.0
89.14263,"[3, 6, 12, 13, 14]",5,998248.0
89.14262,"[2, 6, 12, 13, 14]",5,998247.0
89.14254,"[4, 5, 12, 13, 14]",5,998245.0
89.14253000000001,"[3, 5, 12, 13, 14]",5,998244.0
89.14252,"[2, 5, 12, 13, 14]",5,998242.0
89.14243,"[3, 4, 12, 13, 14]",5,998240.0
89.14242,"[2, 4, 12, 13, 14]",5,998239.0
89.14232,"[2, 3, 12, 13, 14]",5,998237.0
89.14209,"[9, 10, 11, 13, 14]",5,998236.0
89.14207999999999,"[8, 10, 11, 13, 14]",5,998234.0
89.14207,"[7, 10, 11, 13, 14]",5,998233.0
89.14206,"[6, 10, 11, 13, 14]",5,998231.0
89.14205,"[5, 10, 11, 13, 14]",5,998230.0
89.14204,"[4, 10, 11, 13, 14]",5,998228.0
89.14203,"[3, 10, 11, 13, 14]",5,998227.0
89.14202,"[2, 10, 11, 13, 14]",5,998225.0
89.14198,"[8, 9, 11, 13, 14]",5,998224.0
89.14197,"[7, 9, 11, 13, 14]",5,998222.0
