hand,value,handvalue,score
"('06C', '04H', '06H')",21.04,1.0,883575.0
"('06C', '06H', '03D')",21.03,1.0,882489.0
"('06C', '02C', '06H')",21.02,1.0,881403.0
"('14H', '05H', '05C')",20.14,1.0,880317.0
"('13C', '05H', '05C')",20.13,1.0,879231.0
"('12C', '05H', '05C')",20.12,1.0,878145.0
"('11H', '05H', '05C')",20.11,1.0,877059.0
"('10D', '05H', '05C')",20.1,1.0,875973.0
"('05H', '05C', '09C')",20.09,1.0,874887.0
"('08C', '05H', '05C')",20.08,1.0,873801.0
"('07H', '05H', '05C')",20.07,1.0,872715.0
"('06C', '05H', '05C')",20.06,1.0,871629.0
"('04H', '05H', '05C')",20.04,1.0,870543.0
"('05H', '05C', '03D')",20.03,1.0,869457.0
"('02C', '05H', '05C')",20.02,1.0,868371.0
"('04H', '14H', '04S')",19.14,1.0,867285.0
"('13C', '04H', '04S')",19.13,1.0,866199.0
"('12C', '04H', '04S')",19.12,1.0,865113.0
"('04H', '11H', '04S')",19.11,1.0,864027.0
"('04H', '10D', '04S')",19.1,1.0,862941.0
"('04H', '04S', '09C')",19.09,1.0,861855.0
"('04H', '08C', '04S')",19.08,1.0,860769.0
"('07H', '04H', '04S')",19.07,1.0,859683.0
"('06C', '04H', '04S')",19.06,1.0,858597.0
"('04H', '05H', '04S')",19.05,1.0,857511.0
"('04H', '04S', '03D')",19.03,1.0,856425.0
"('04H', '02C', '04S')",19.02,1.0,855339.0
"('14H', '03D', '03S')",18.14,1.0,854253.0
"('13C', '03D', '03S')",18.13,1.0,853167.0
"('12C', '03D', '03S')",18.12,1.0,852081.0
"('11H', '03D', '03S')",18.11,1.0,850995.0
"('10D', '03D', '03S')",18.1,1.0,849910.0
"('03D', '09C', '03S')",18.09,1.0,848824.0
"('08C', '03D', '03S')",18.08,1.0,847738.0
"('07H', '03D', '03S')",18.07,1.0,846652.0
"('06C', '03D', '03S')",18.06,1.0,845566.0
"('05H', '03D', '03S')",18.05,1.0,844480.0
"('04H', '03D', '03S')",18.04,1.0,843394.0
"('02C', '03D', '03S')",18.02,1.0,842308.0
"('14H', '02C', '02S')",17.14,1.0,841222.0
"('13C', '02C', '02S')",17.13,1.0,840136.0
"('12C', '02C', '02S')",17.12,1.0,839050.0
"('11H', '02C', '02S')",17.11,1.0,837964.0
"('10D', '02C', '02S')",17.1,1.0,836878.0
"('02C', '02S', '09C')",17.09,1.0,835792.0
"('08C', '02C', '02S')",17.08,1.0,834706.0
"('07H', '02C', '02S')",17.07,1.0,833620.0
"('06C', '02C', '02S')",17.06,1.0,832534.0
"('02C', '02S', '05H')",17.05,1.0,831448.0
"('04H', '02C', '02S')",17.04,1.0,830362.0
"('02C', '02S', '03D')",17.03,1.0,829276.0
"('13C', '12C', '14H')",14.142000000000001,4.0,828190.0
"('13C', '11H', '14H')",14.141,0.0,825294.0
"('13C', '14H', '10D')",14.14,0.0,822398.0
"('13C', '14H', '09C')",14.139000000000001,0.0,819502.0
"('13C', '14H', '08C')",14.138,0.0,816606.0
"('13C', '07H', '14H')",14.137,0.0,813710.0
"('13C', '06C', '14H')",14.136000000000001,0.0,810814.0
"('13C', '14H', '05H')",14.135000000000002,0.0,807919.0
"('13C', '04H', '14H')",14.134,0.0,805023.0
"('13C', '14H', '03D')",14.133000000000001,0.0,802127.0
"('13C', '14H', '02C')",14.132000000000001,0.0,799231.0
"('12C', '11H', '14H')",14.130999999999998,0.0,796335.0
"('12C', '14H', '10D')",14.129999999999999,0.0,793439.0
"('12C', '14H', '09C')",14.129,0.0,790543.0
"('12C', '14H', '08C')",14.127999999999998,0.0,787647.0
"('12C', '07H', '14H')",14.126999999999999,0.0,784751.0
"('12C', '06C', '14H')",14.126,0.0,781855.0
"('12C', '14H', '05H')",14.125,0.0,778959.0
"('12C', '04H', '14H')",14.123999999999999,0.0,776063.0
"('12C', '14H', '03D')",14.123,0.0,773167.0
"('12C', '14H', '02C')",14.122,0.0,770271.0
"('11H', '14H', '10D')",14.12,0.0,767376.0
"('11H', '14H', '09C')",14.119,0.0,764480.0
"('11H', '14H', '08C')",14.117999999999999,0.0,761584.0
"('07H', '11H', '14H')",14.116999999999999,0.0,758688.0
"('06C', '11H', '14H')",14.116,0.0,755792.0
"('11H', '14H', '05H')",14.115,0.0,752896.0
"('04H', '11H', '14H')",14.113999999999999,0.0,750000.0
"('11H', '14H', '03D')",14.113,0.0,747104.0
"('11H', '14H', '02C')",14.112,0.0,744208.0
"('14H', '10D', '09C')",14.109,0.0,741312.0
"('14H', '08C', '10D')",14.107999999999999,0.0,738416.0
"('07H', '14H', '10D')",14.107,0.0,735520.0
"('06C', '14H', '10D')",14.106,0.0,732624.0
"('14H', '10D', '05H')",14.105,0.0,729729.0
"('04H', '14H', '10D')",14.104,0.0,726833.0
"('14H', '10D', '03D')",14.103,0.0,723937.0
"('14H', '10D', '02C')",14.102,0.0,721041.0
"('14H', '08C', '09C')",14.097999999999999,0.0,718145.0
"('07H', '14H', '09C')",14.097,0.0,715249.0
"('06C', '14H', '09C')",14.096,0.0,712353.0
"('14H', '05H', '09C')",14.095,0.0,709457.0
"('04H', '14H', '09C')",14.094,0.0,706561.0
"('14H', '03D', '09C')",14.093,0.0,703665.0
"('14H', '02C', '09C')",14.092,0.0,700769.0
"('07H', '14H', '08C')",14.087,0.0,697873.0
"('06C', '14H', '08C')",14.086,0.0,694977.0
"('14H', '08C', '05H')",14.085,0.0,692081.0
"('04H', '14H', '08C')",14.084,0.0,689186.0
"('14H', '08C', '03D')",14.083,0.0,686290.0
"('14H', '08C', '02C')",14.082,0.0,683394.0
"('07H', '06C', '14H')",14.076,0.0,680498.0
"('07H', '14H', '05H')",14.075000000000001,0.0,677602.0
"('07H', '04H', '14H')",14.074,0.0,674706.0
"('07H', '14H', '03D')",14.073,0.0,671810.0
"('07H', '14H', '02C')",14.072000000000001,0.0,668914.0
"('06C', '14H', '05H')",14.065000000000001,0.0,666018.0
"('06C', '04H', '14H')",14.064,0.0,663122.0
"('06C', '14H', '03D')",14.063,0.0,660226.0
"('06C', '14H', '02C')",14.062000000000001,0.0,657330.0
"('04H', '14H', '05H')",14.054,0.0,654434.0
"('14H', '05H', '03D')",14.053,0.0,651538.0
"('14H', '02C', '05H')",14.052000000000001,0.0,648643.0
"('04H', '14H', '03D')",14.043,0.0,645747.0
"('04H', '14H', '02C')",14.042,0.0,642851.0
"('14H', '02C', '03D')",14.032,0.0,639955.0
"('13C', '12C', '11H')",13.130999999999998,4.0,637059.0
"('13C', '12C', '10D')",13.129999999999999,0.0,634163.0
"('13C', '12C', '09C')",13.129,0.0,631267.0
"('13C', '12C', '08C')",13.127999999999998,0.0,628371.0
"('13C', '12C', '07H')",13.126999999999999,0.0,625475.0
"('13C', '12C', '06C')",13.126,0.0,622579.0
"('13C', '12C', '05H')",13.125,0.0,619683.0
"('13C', '12C', '04H')",13.123999999999999,0.0,616787.0
"('13C', '12C', '03D')",13.123,0.0,613891.0
"('13C', '12C', '02C')",13.122,0.0,610995.0
"('13C', '11H', '10D')",13.12,0.0,608100.0
"('13C', '11H', '09C')",13.119,0.0,605204.0
"('13C', '11H', '08C')",13.117999999999999,0.0,602308.0
"('13C', '07H', '11H')",13.116999999999999,0.0,599412.0
"('13C', '06C', '11H')",13.116,0.0,596516.0
"('13C', '11H', '05H')",13.115,0.0,593620.0
"('13C', '04H', '11H')",13.113999999999999,0.0,590724.0
"('13C', '11H', '03D')",13.113,0.0,587828.0
"('13C', '11H', '02C')",13.112,0.0,584932.0
"('13C', '10D', '09C')",13.109,0.0,582036.0
"('13C', '08C', '10D')",13.107999999999999,0.0,579140.0
"('13C', '07H', '10D')",13.107,0.0,576244.0
"('13C', '06C', '10D')",13.106,0.0,573348.0
"('13C', '10D', '05H')",13.105,0.0,570452.0
"('13C', '04H', '10D')",13.104,0.0,567557.0
"('13C', '10D', '03D')",13.103,0.0,564661.0
"('13C', '10D', '02C')",13.102,0.0,561765.0
"('13C', '08C', '09C')",13.097999999999999,0.0,558869.0
"('13C', '07H', '09C')",13.097,0.0,555973.0
"('13C', '06C', '09C')",13.096,0.0,553077.0
"('13C', '05H', '09C')",13.095,0.0,550181.0
"('13C', '04H', '09C')",13.094,0.0,547285.0
"('13C', '03D', '09C')",13.093,0.0,544389.0
"('13C', '02C', '09C')",13.092,0.0,541493.0
"('13C', '07H', '08C')",13.087,0.0,538597.0
"('13C', '06C', '08C')",13.086,0.0,535701.0
"('13C', '08C', '05H')",13.085,0.0,532805.0
"('13C', '04H', '08C')",13.084,0.0,529910.0
"('13C', '08C', '03D')",13.083,0.0,527014.0
"('13C', '08C', '02C')",13.082,0.0,524118.0
"('13C', '07H', '06C')",13.076,0.0,521222.0
"('13C', '07H', '05H')",13.075000000000001,0.0,518326.0
"('13C', '07H', '04H')",13.074,0.0,515430.0
"('13C', '07H', '03D')",13.073,0.0,512534.0
"('13C', '07H', '02C')",13.072000000000001,0.0,509638.0
"('13C', '06C', '05H')",13.065000000000001,0.0,506742.0
"('13C', '06C', '04H')",13.064,0.0,503846.0
"('13C', '06C', '03D')",13.063,0.0,500950.0
"('13C', '06C', '02C')",13.062000000000001,0.0,498054.0
"('13C', '04H', '05H')",13.054,0.0,495158.0
"('13C', '05H', '03D')",13.053,0.0,492262.0
"('13C', '02C', '05H')",13.052000000000001,0.0,489367.0
"('13C', '04H', '03D')",13.043,0.0,486471.0
"('13C', '04H', '02C')",13.042,0.0,483575.0
"('13C', '02C', '03D')",13.032,0.0,480679.0
"('12C', '11H', '10D')",12.12,4.0,477783.0
"('12C', '11H', '09C')",12.119,0.0,474887.0
"('12C', '11H', '08C')",12.117999999999999,0.0,471991.0
"('12C', '07H', '11H')",12.116999999999999,0.0,469095.0
"('12C', '06C', '11H')",12.116,0.0,466199.0
"('12C', '11H', '05H')",12.115,0.0,463303.0
"('12C', '04H', '11H')",12.113999999999999,0.0,460407.0
"('12C', '11H', '03D')",12.113,0.0,457511.0
"('12C', '11H', '02C')",12.112,0.0,454615.0
